id_subsistema,idhistorico_carga,subsistema,data,valor
3,205834.0,Nordeste,22/01/2007,7643.84
2,205835.0,Sul,22/01/2007,8489.23
1,205836.0,Sudeste,22/01/2007,30814.17
5,205837.0,SIN,22/01/2007,50446.31
4,205838.0,Norte,23/01/2007,3520.9
3,205839.0,Nordeste,23/01/2007,7890.54
2,205840.0,Sul,23/01/2007,9118.52
1,205841.0,Sudeste,23/01/2007,31239.37
5,205842.0,SIN,23/01/2007,51769.33
5,205843.0,SIN,24/01/2007,52383.94
3,205844.0,Nordeste,24/01/2007,7861.26
2,205845.0,Sul,24/01/2007,9416.45
4,205846.0,Norte,24/01/2007,3524.09
1,205847.0,Sudeste,24/01/2007,31582.14
4,205848.0,Norte,25/01/2007,3542.9
3,205849.0,Nordeste,25/01/2007,7841.89
2,205850.0,Sul,25/01/2007,9630.33
1,205851.0,Sudeste,25/01/2007,31686.65
5,205852.0,SIN,25/01/2007,52701.770000000004
4,205853.0,Norte,26/01/2007,3519.75
5,205854.0,SIN,26/01/2007,53233.05
3,205855.0,Nordeste,26/01/2007,7892.88
2,205856.0,Sul,26/01/2007,9473.74
1,205857.0,Sudeste,26/01/2007,32346.68
5,205858.0,SIN,27/01/2007,48744.97
4,205859.0,Norte,27/01/2007,3353.9
3,205860.0,Nordeste,27/01/2007,7451.06
2,205861.0,Sul,27/01/2007,8230.95
1,205862.0,Sudeste,27/01/2007,29709.06
4,205863.0,Norte,28/01/2007,3236.36
3,205864.0,Nordeste,28/01/2007,6905.58
2,205865.0,Sul,28/01/2007,7077.54
1,205866.0,Sudeste,28/01/2007,26806.7
5,205867.0,SIN,28/01/2007,44026.18
1,205868.0,Sudeste,29/01/2007,31910.12
5,205869.0,SIN,29/01/2007,51845.82
3,205870.0,Nordeste,29/01/2007,7766.6
4,205871.0,Norte,29/01/2007,3428.47
2,205872.0,Sul,29/01/2007,8740.63
4,205873.0,Norte,30/01/2007,3487.21
2,205874.0,Sul,30/01/2007,9116.18
1,205875.0,Sudeste,30/01/2007,32520.85
5,205876.0,SIN,30/01/2007,53054.49
3,205877.0,Nordeste,30/01/2007,7930.25
4,205878.0,Norte,31/01/2007,3474.9
3,205879.0,Nordeste,31/01/2007,7820.57
2,205880.0,Sul,31/01/2007,9214.5
1,205881.0,Sudeste,31/01/2007,32170.93
5,205882.0,SIN,31/01/2007,52680.9
5,205883.0,SIN,01/02/2007,53073.26
2,205884.0,Sul,01/02/2007,9418.18
1,205885.0,Sudeste,01/02/2007,32374.24
4,205886.0,Norte,01/02/2007,3505.87
3,205887.0,Nordeste,01/02/2007,7774.97
1,205888.0,Sudeste,02/02/2007,32459.42
2,205889.0,Sul,02/02/2007,9238.97
3,205890.0,Nordeste,02/02/2007,7789.01
4,205891.0,Norte,02/02/2007,3446.48
5,205892.0,SIN,02/02/2007,52933.88
2,205893.0,Sul,03/02/2007,8118.55
3,205894.0,Nordeste,03/02/2007,7347.12
4,205895.0,Norte,03/02/2007,3291.11
1,205896.0,Sudeste,03/02/2007,29303.89
5,205897.0,SIN,03/02/2007,48060.67
5,205898.0,SIN,04/02/2007,42937.39
1,205899.0,Sudeste,04/02/2007,26218.93
2,205900.0,Sul,04/02/2007,6848.36
4,205901.0,Norte,04/02/2007,3187.52
3,205902.0,Nordeste,04/02/2007,6682.58
5,205903.0,SIN,05/02/2007,51630.95
4,205904.0,Norte,05/02/2007,3399.91
3,205905.0,Nordeste,05/02/2007,7509.79
2,205906.0,Sul,05/02/2007,8987.33
1,205907.0,Sudeste,05/02/2007,31733.92
1,205908.0,Sudeste,06/02/2007,32753.43
3,205909.0,Nordeste,06/02/2007,7628.09
5,205910.0,SIN,06/02/2007,53060.69
4,205911.0,Norte,06/02/2007,3402.01
2,205912.0,Sul,06/02/2007,9277.16
1,205913.0,Sudeste,07/02/2007,33081.97
4,205914.0,Norte,07/02/2007,3321.58
3,205915.0,Nordeste,07/02/2007,7655.59
2,205916.0,Sul,07/02/2007,9349.3
5,205917.0,SIN,07/02/2007,53408.44
5,205918.0,SIN,08/02/2007,53574.0
4,205919.0,Norte,08/02/2007,3353.4
3,205920.0,Nordeste,08/02/2007,7696.07
2,205921.0,Sul,08/02/2007,9317.61
1,205922.0,Sudeste,08/02/2007,33206.92
4,205923.0,Norte,09/02/2007,3367.28
5,205924.0,SIN,09/02/2007,53537.84
3,205925.0,Nordeste,09/02/2007,7670.72
2,205926.0,Sul,09/02/2007,9304.49
1,205927.0,Sudeste,09/02/2007,33195.35
5,205928.0,SIN,10/02/2007,49287.33
4,205929.0,Norte,10/02/2007,3290.87
3,205930.0,Nordeste,10/02/2007,7269.25
2,205931.0,Sul,10/02/2007,8242.1
1,205932.0,Sudeste,10/02/2007,30485.11
4,205933.0,Norte,11/02/2007,3167.06
5,205934.0,SIN,11/02/2007,43931.75
3,205935.0,Nordeste,11/02/2007,6748.86
2,205936.0,Sul,11/02/2007,6767.41
1,205937.0,Sudeste,11/02/2007,27248.42
2,205938.0,Sul,12/02/2007,8504.11
3,205939.0,Nordeste,12/02/2007,7595.36
1,205940.0,Sudeste,12/02/2007,30843.22
4,205941.0,Norte,12/02/2007,3389.12
