Ano,PLD_minimo,PLD_maximo
2015-01-01,30.26,388.48
2016-01-01,30.25,422.56
2017-01-01,33.68,533.82
2018-01-01,40.16,505.18
2019-01-01,42.35,513.89
2020-01-01,39.68,559.75
2021-01-01,49.77,583.88
2022-01-01,55.7,646.58
2023-01-01,69.04,684.73
2024-01-01,61.07,716.8
