strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,fast_period1_slow_period46,2017-09-12,buy,191.62790697674416,521,99838.13953488371,100954.38335985315,0.0,0.0
0,fast_period1_slow_period46,2018-07-21,sell,312.3491614886972,-521,99838.13953488371,162895.7736007275,0.0,62895.77360072752
0,fast_period1_slow_period46,2018-07-24,buy,321.59985141335113,506,162729.52481515566,163590.90335217945,0.0,0.0
0,fast_period1_slow_period46,2018-08-08,sell,311.1380561985097,-506,162729.52481515566,157602.1052220177,0.0,-5293.668378709778
0,fast_period1_slow_period46,2018-12-05,buy,130.74492401559232,1204,157416.88851477316,155050.69099453432,0.0,0.0
0,fast_period1_slow_period46,2019-02-25,sell,298.8961451247165,-1204,157416.88851477316,360056.17543740326,0.0,202454.07021538552
0,fast_period1_slow_period46,2019-03-22,buy,307.31366723259765,1170,359556.99066213926,365371.04668107606,0.0,0.0
0,fast_period1_slow_period46,2019-04-27,sell,302.63849295657246,-1170,359556.99066213926,354586.2215344538,0.0,-5469.953902949471
0,fast_period1_slow_period46,2019-09-25,buy,166.76180092592597,2124,354202.06516666675,356984.6169514446,0.0,0.0
0,fast_period1_slow_period46,2019-11-28,sell,186.9299578059072,-2124,354202.06516666675,397423.3867475339,0.0,42837.16521308015
0,fast_period1_slow_period46,2019-12-12,buy,196.0989247311828,2024,396904.22365591396,397397.2706185017,0.0,0.0
0,fast_period1_slow_period46,2019-12-14,sell,194.7081413210445,-2024,396904.22365591396,394608.44112541404,0.0,-2814.9456221198852
0,fast_period1_slow_period46,2019-12-27,buy,208.23328570439332,1893,394185.60983841657,396814.80378337257,0.0,0.0
0,fast_period1_slow_period46,2020-01-05,sell,190.48181818181817,-1893,394185.60983841657,361004.91310517926,0.0,-33603.52802023477
0,fast_period1_slow_period46,2020-01-16,buy,189.08042634716563,1907,360576.3730440448,357954.3994154791,0.0,0.0
0,fast_period1_slow_period46,2020-01-17,sell,187.48078623720224,-1907,360576.3730440448,357954.3994154791,0.0,-3050.513689700182
0,fast_period1_slow_period46,2020-03-11,buy,174.57259869593145,2048,357524.6821292676,363016.0547639485,0.0,0.0
0,fast_period1_slow_period46,2020-03-13,sell,169.60701745201231,-2048,357524.6821292676,347784.8890279327,0.0,-10169.510387546383
0,fast_period1_slow_period46,2020-05-15,buy,100.06577678134718,3472,347428.3769848374,348631.25838736084,0.0,0.0
0,fast_period1_slow_period46,2020-07-01,sell,111.20026066004247,-3472,347428.3769848374,386443.8170547628,0.0,38658.92802683006
0,fast_period1_slow_period46,2020-07-29,buy,111.56619795974636,3460,386019.0449407224,395327.2077121607,0.0,0.0
0,fast_period1_slow_period46,2020-08-05,sell,101.86649080209015,-3460,386019.0449407224,352882.8302892723,0.0,-33560.986765490474
0,fast_period1_slow_period46,2020-09-11,buy,93.30765765765769,3778,352516.3306306307,356557.62018995953,0.0,0.0
0,fast_period1_slow_period46,2020-11-28,sell,217.76096507745223,-3778,352516.3306306307,823067.4257212561,0.0,470184.59543198376
0,fast_period1_slow_period46,2021-01-11,buy,163.3962131837307,5032,822209.744740533,893488.4290695632,0.0,0.0
0,fast_period1_slow_period46,2021-02-04,sell,156.92188722558873,-5032,822209.744740533,790488.6174998856,0.0,-32578.80822137042
0,fast_period1_slow_period46,2021-02-17,buy,168.64998617448924,4682,789619.2352689586,790862.0136384568,0.0,0.0
0,fast_period1_slow_period46,2021-02-18,sell,168.7297375923814,-4682,789619.2352689586,790862.0136384567,0.0,373.3961385711342
0,fast_period1_slow_period46,2021-02-20,buy,170.90346637269175,4622,789915.8215745813,796576.7005085421,0.0,0.0
0,fast_period1_slow_period46,2021-02-23,sell,170.45821703441106,-4622,789915.8215745813,788804.0711969234,0.0,-2057.9424415333456
