dt,SMA_1,SMA_32,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_4_4.0,BBands_top_4_4.0,BBands_bot_4_4.0
2015-04-24,357.44444444444446,,,,,,,,
2015-04-25,356.6666666666667,,,,,,,,
2015-04-26,355.8888888888889,,,,,,,,
2015-04-27,355.1111111111111,,,,,,356.27777777777777,359.75610574281626,352.7994498127393
2015-04-28,354.3333333333333,,,,,,355.5,358.97832796500506,352.02167203499494
2015-04-29,353.5555555555556,,,,,,354.72222222222223,358.2005501871938,351.24389425725064
2015-04-30,352.77777777777777,,,,,,353.94444444444446,357.42277240941604,350.4661164794729
2015-05-01,352.0,,,,,,353.1666666666667,356.6449946316717,349.6883387016616
2015-05-02,352.0,,,,,,352.58333333333337,355.1629303924508,350.00373627421595
2015-05-03,352.0,,,,,,352.19444444444446,353.54159507256,350.84729381632894
2015-05-04,355.0,,,,,,352.75,357.94615242270663,347.55384757729337
2015-05-05,355.0,,,,,,353.5,359.5,347.5
2015-05-06,355.0,,,,,,354.25,359.44615242270663,349.05384757729337
2015-05-07,355.0,,,,,,355.0,355.0,355.0
2015-05-08,355.0,,,,,,355.0,355.0,355.0
2015-05-09,355.0,,,,,,355.0,355.0,355.0
2015-05-10,355.0,,,,,,355.0,355.0,355.0
2015-05-11,355.0,,,,,,355.0,355.0,355.0
2015-05-12,355.0,,,,,,355.0,355.0,355.0
2015-05-13,355.0,,,,,,355.0,355.0,355.0
2015-05-14,354.01,,,,,,354.7525,356.467230299532,353.037769700468
2015-05-15,359.204,,,,,,355.8035,363.82129695427415,347.7857030457258
2015-05-16,359.204,,,,,,356.85450000000003,366.3562158450373,347.3527841549628
2015-05-17,359.204,,,,,,357.9055,366.90177189449753,348.9092281055025
2015-05-18,360.0015384615385,,,,,,359.40338461538465,360.7847617517057,358.0220074790636
2015-05-19,361.0909090909091,,,,,,359.8751118881119,362.9702234204977,356.78000035572614
2015-05-20,360.5,,,,,,360.199111888112,362.9668682613926,357.43135551483124
2015-05-21,360.3589285714285,,,,,,360.487844030969,362.0587641902464,358.91692387169167
2015-05-22,360.5174927113703,,,,,,360.616832593427,361.7389400340783,359.4947251527757
2015-05-23,360.51980198019805,,,,,,360.4740558157493,360.7416888370868,360.2064227944117
2015-05-24,360.51980198019805,,,,,,360.4790063107988,360.7563396104805,360.201673011117
2015-05-25,360.6114551083592,356.4849908025556,,,,,360.5421379450314,360.7022634876998,360.3820124023631
2015-05-26,348.08550947260625,356.19252408468566,-1.0,356.23046106528443,,,357.4341421353404,379.0244032498039,335.8438810208769
2015-05-27,347.5573916485256,355.90785924036874,0.0,355.72028051135743,,,354.1935395524223,379.6931651846926,328.693913920152
2015-05-28,346.99891872409444,355.63004767271894,0.0,355.2072592297537,,,350.8133187383964,373.4932771509248,328.13336032586795
2015-05-29,346.51138008918747,355.3613060782838,0.0,354.6957369273674,,,347.28829998360345,349.65075576446486,344.92584420274204
2015-05-30,346.00426503273866,355.10102269389023,0.0,354.1844738747422,,,346.76798887363657,349.0706894709068,344.4652882763663
2015-05-31,345.4925353239136,354.8490533116514,0.0,353.6731833717523,,,346.2517747924836,348.4997290770887,344.0038205078784
2015-06-01,345.0,354.60599775609586,0.0,353.16299611459044,,,345.75204511145995,348.0086989853027,343.4953912376172
2015-06-02,352.1666666666667,354.6112060894292,0.0,353.1043885000067,,,347.1658667558297,358.80173117519087,335.53000233646856
2015-06-03,353.7236842105264,354.66507122100813,0.0,353.140817659449,,,349.09572155027666,364.6657733539016,333.5256697466517
2015-06-04,353.7236842105264,354.7189363525871,0.0,353.1751039271594,,,351.15350877192986,365.5900959997014,336.7169215441583
