dt,close,Soma_Volumes,SMA_18,SMA_40,CrossOver_x,EMA_31,EMA_75,CrossOver_y,BBands_mid_5_1.0,BBands_top_5_1.0,BBands_bot_5_1.0,log_return,log_volume,BBands_distance_indicator,return_shifted,market_order_signal
2018-05-10,202.25,1.0,5.31335829469174,5.309205293740936,0.0,5.304736229378963,5.248202044584634,0.0,5.308571219426392,5.314049394948446,5.303062868113126,0.0012368585373963015,0.0,0.002746617895242287,0.03760297477886798,1
2018-05-22,210.0,1.0,5.318815994437331,5.313523580207885,0.0,5.3074376883235015,5.250934149902456,0.0,5.318420540610399,5.333004307005617,5.3036209363620275,0.03760297477886798,0.0,0.0073455784147766125,0.009478743954543845,1
2018-06-04,212.0,5.0,5.319360129724839,5.317087516297949,0.0,5.310581267767358,5.2538623629327255,0.0,5.327147748215913,5.347654874337747,5.3062112595179975,0.009478743954543845,1.6094379124341003,0.010360162306040047,0.014051753455650129,1
2018-06-08,215.0,2.0,5.3226187383246995,5.326246119019618,-1.0,5.314442355321081,5.257116726974158,0.0,5.338739281046952,5.363631256019896,5.313211844104368,0.014051753455650129,0.6931471805599453,0.012603518079619647,0.0,0
2018-06-14,215.0,2.0,5.323567169075353,5.327460952871992,0.0,5.318048635312793,5.26027530579021,0.0,5.351146980192569,5.373192901193145,5.328604059152907,0.0,0.6931471805599453,0.01114628719527772,0.023898196160916818,1
2018-06-20,220.2,5.0,5.329023461792447,5.328698564879476,1.0,5.323004384819248,5.2640495215979355,0.0,5.368029978959337,5.38398495971399,5.35181630375208,0.023898196160916818,1.6094379124341003,0.008041817255586494,-0.014638870748119537,-1
2018-06-28,217.0,2.0,5.333860546952827,5.3307578538902884,0.0,5.326656614001818,5.267276546018548,0.0,5.3745373924594455,5.386979567064696,5.361938457659807,-0.014638870748119537,0.6931471805599453,0.006260113793413849,0.02278002833181958,1
2018-06-29,222.0,5.0,5.337272714306357,5.334502145510135,0.0,5.3315810305195805,5.271084959735218,0.0,5.383760848365504,5.396615017561297,5.370739295592454,0.02278002833181958,1.6094379124341003,0.006468750029776056,-0.01360565205577835,-1
2018-07-02,219.0,1.4,5.332317908781713,5.337751918740725,-1.0,5.335272671740108,5.274375047366273,0.0,5.387426541619813,5.398529075156636,5.376199356589858,-0.01360565205577835,0.33647223662121284,0.005582313666794892,0.004555816535860124,0
2018-07-11,220.0,1.0,5.345653194257712,5.340751580469441,1.0,5.339021332249078,5.277702514713485,0.0,5.391989842410672,5.399413420416601,5.384510742466,0.004555816535860124,0.0,0.003725635011757076,-0.013730192811901354,-1
