,model,accuracy_train,accuracy_test,log_return_train,log_return_test,std_dev_train,std_dev_test,sharpe_train,sharpe_test,mse_train,mse_test,rmse_train,rmse_test,mae_train,mae_test,r2_train,r2_test,mape_train,mape_test,precision_train,precision_test,f1_train,f1_test,roc_auc_train,roc_auc_test
0,linear_regression,0.4858096828046744,0.6551258992805755,4.109719236196269,10.165195796362992,0.0267593376375172,0.0227052264302404,0.1281976239149651,0.2013052623437083,0.6898059234869162,0.9163287489744524,0.8305455577431717,0.9572506197305136,0.720987485344226,0.9421173439301508,0.0728390902958208,0.0795204939755825,114436271441119.6,723202523307.7216,,,,,,
0,ridge_regression,0.4883138564273789,0.6299460431654677,4.130975198062135,8.890348080890703,0.0289448304996775,0.0237828818586916,0.1191309921720328,0.1680813407398037,0.6943092657515394,0.9372495622961032,0.8332522221701778,0.9681165024397131,0.7277833307401343,0.9592366819457848,0.0667861951718249,0.0585049142139579,101160369416437.56,564235387041.9213,,,,,,
0,logistic_regression,0.6786310517529215,0.591726618705036,3.5504056837120386,7.48281880394413,0.0153489088020272,0.0170308095281818,0.1930828303546363,0.197558242593638,,,,,,,,,,,0.6521739130434783,0.6857142857142857,0.4832214765100671,0.4422604422604422,0.6260540331850447,0.5895962920038853
0,svc,0.5742904841402338,0.4959532374100719,1.4838090491462934,-0.1702925272817834,0.0357863611433292,0.0314074659678381,0.034610163977653,-0.002437967489973,,,,,,,,,,,0.4732026143790849,0.4959532374100719,0.586709886547812,0.6630598136459273,0.6095214696651956,0.5
0,xgboost_classifier,0.7353923205342237,0.6465827338129496,6.447103719284809,11.240306924503274,0.0249586534284666,0.021721300637406,,,,,,,,,,,,,0.6583333333333333,0.6398940864960282,0.6659641728134879,0.648479427549195,0.7244041403798176,0.6466687640471248
0,lgbm_classifier,0.7595993322203672,0.6339928057553957,10.364999904261037,9.05341045155191,0.0240875219005136,0.0221002008969511,0.3591867948169431,0.1841964287888152,,,,,,,,,,,0.6269284712482468,0.6359360301034808,0.7563451776649747,0.6241920590951062,0.7941041412572645,0.6338232522930327
0,random_forest,1.0,0.6187050359712231,10.57527535438838,8.451484734478072,0.0240164300720461,0.02124785947467,0.3675584522186534,0.1788475696868597,,,,,,,,,,,1.0,0.6239067055393586,1.0,0.6022514071294559,1.0,0.6184107409603037
