dt,close,Soma_Volumes,return,position_linear_regression,return_linear_regression,position_ridge_regression,return_ridge_regression,position_logistic_regression,return_logistic_regression,position_lgbm_regression,return_lgbm_regression,position_lgbm_classifier,return_lgbm_classifier,position_xgboost_regression,return_xgboost_regression,position_xgboost_classifier,return_xgboost_classifier,position_gnb,return_gnb,position_random_forest,return_random_forest,position_svc,return_svc,position_linear_svc,return_linear_svc
19/07/18,197,3,-0.110423818,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,1,0.1104238176143730,0,0
01/08/18,220,2,0.1104238176143730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/18,220,10,0,0,0,0,0,0,0,1,0.004535155,1,0.004535155,1,0.004535155,0,0,0,0,1,0.004535155,0,0,0,0
06/08/18,221,2,0.004535155,0,0,0,0,0,0,1,0.083864147,1,0.083864147,1,0.083864147,0,0,0,0,1,0.083864147,0,0,0,0
07/08/18,240.3333333,15,0.083864147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/08/18,218,2,-0.097531786,1,0.001527884,1,0.001527884,1,0.001527884,0,0,0,0,1,0.001527884,0,0,0,0,1,0.001527884,0,0,0,0
10/08/18,218.3333333,6,0.001527884,1,0.007604599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007604599,0,0,0,0
13/08/18,220,5,0.007604599,1,-0.027651531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/18,214,1,-0.027651531,1,-0.031005331,1,-0.031005331,1,-0.031005331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/08/18,207.4666667,15,-0.031005331,1,0.031005331,1,0.031005331,1,0.031005331,1,0.031005331,1,0.031005331,1,0.031005331,0,0,0,0,1,0.031005331,1,0.031005331,0,0
21/08/18,214,2,0.031005331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/18,200,10,-0.067658648,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,1,0.048790164,0,0
27/08/18,210,3,0.048790164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/18,210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004750603,0,0,0,0
05/09/18,211,2,0.004750603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/09/18,207,3,-0.01913934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/09/18,204.2083333,12,-0.013578079,1,-0.017080362,1,-0.017080362,0,0,0,0,0,0,0,0,1,-0.017080362,0,0,0,0,1,-0.017080362,0,0
11/09/18,200.75,14,-0.017080362,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,1,0.016059641,0,0
12/09/18,204,1,0.016059641,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.016646555,0,0,0,0,0,0,0,0
13/09/18,200.6322115,20.8,-0.016646555,0,0,0,0,0,0,1,-0.010883218,0,0,0,0,1,-0.010883218,0,0,0,0,1,-0.010883218,0,0
14/09/18,198.4605263,19,-0.010883218,1,-0.007386492,1,-0.007386492,1,-0.007386492,1,-0.007386492,0,0,0,0,1,-0.007386492,1,-0.007386492,0,0,1,-0.007386492,0,0
17/09/18,197,5,-0.007386492,1,0.019271648,1,0.019271648,0,0,1,0.019271648,1,0.019271648,0,0,1,0.019271648,1,0.019271648,1,0.019271648,1,0.019271648,0,0
18/09/18,200.8333333,7.2,0.019271648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/18,200.2857143,7,-0.002730458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/09/18,200,3,-0.001427552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/18,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/18,199.6,10,-0.002002003,0,0,1,-0.003010539,0,0,0,0,0,0,0,0,1,-0.003010539,0,0,0,0,1,-0.003010539,0,0
04/10/18,199,2,-0.003010539,0,0,1,0.005012542,0,0,0,0,1,0.005012542,0,0,1,0.005012542,0,0,1,0.005012542,1,0.005012542,0,0
05/10/18,200,2,0.005012542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/18,199.7777778,9,-0.001111729,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002569,0,0,1,0.002569,0,0,0,0
09/10/18,200.2916667,24,0.002569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/18,199.2272727,11,-0.00532839,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.007021322,0,0,0,0,0,0,0,0
11/10/18,197.8333333,6,-0.007021322,0,0,1,-0.019051435,0,0,0,0,0,0,0,0,1,-0.019051435,1,-0.019051435,0,0,1,-0.019051435,0,0
15/10/18,194.1,5,-0.019051435,0,0,1,-0.0241164,0,0,0,0,0,0,0,0,1,-0.0241164,1,-0.0241164,0,0,1,-0.0241164,0,0
16/10/18,189.475,40,-0.0241164,0,0,1,0.000131935,0,0,0,0,0,0,0,0,1,0.000131935,1,0.000131935,1,0.000131935,1,0.000131935,0,0
17/10/18,189.5,10,0.000131935,0,0,1,-0.010087649,0,0,0,0,0,0,0,0,1,-0.010087649,1,-0.010087649,0,0,1,-0.010087649,0,0
18/10/18,187.598,5,-0.010087649,0,0,1,-0.016026717,0,0,0,0,0,0,0,0,1,-0.016026717,1,-0.016026717,0,0,1,-0.016026717,0,0
19/10/18,184.6153846,13,-0.016026717,0,0,1,-0.019696883,0,0,0,0,0,0,0,0,1,-0.019696883,1,-0.019696883,0,0,1,-0.019696883,0,0
22/10/18,181.0146154,52,-0.019696883,0,0,0,0,0,0,1,-0.006005115,0,0,0,0,0,0,1,-0.006005115,0,0,1,-0.006005115,0,0
23/10/18,179.9308591,106.16,-0.006005115,0,0,0,0,0,0,1,0.019161045,1,0.019161045,0,0,0,0,1,0.019161045,1,0.019161045,1,0.019161045,0,0
24/10/18,183.4117647,17,0.019161045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/10/18,178.7,20,-0.026025283,0,0,0,0,0,0,0,0,1,0.014035381,0,0,0,0,1,0.014035381,1,0.014035381,1,0.014035381,0,0
26/10/18,181.2258065,7.75,0.014035381,0,0,0,0,0,0,1,0.042003212,1,0.042003212,1,0.042003212,0,0,0,0,1,0.042003212,0,0,0,0
29/10/18,189,2,0.042003212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/10/18,186.9666667,6,-0.010816667,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00656504,0,0,0,0,0,0,0,0
31/10/18,185.7432432,14.8,-0.00656504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/18,183.6584786,12.62,-0.011287369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/11/18,182,3,-0.009071251,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00527948,1,-0.00527948,0,0,1,-0.00527948,0,0
06/11/18,181.0416667,24,-0.00527948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.015203599,0,0,1,-0.015203599,0,0
07/11/18,178.31,10,-0.015203599,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.012359211,1,-0.012359211,0,0,1,-0.012359211,0,0
08/11/18,176.1197917,19.2,-0.012359211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.023615839,0,0,1,-0.023615839,0,0
09/11/18,172.0093023,21.5,-0.023615839,1,-0.008813262,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.008813262,0,0,1,-0.008813262,0,0
12/11/18,170.5,3.5,-0.008813262,1,-0.020643286,0,0,0,0,0,0,0,0,0,0,1,-0.020643286,1,-0.020643286,0,0,1,-0.020643286,0,0
13/11/18,167.0164,25,-0.020643286,1,-0.021422942,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.021422942,0,0,1,-0.021422942,0,0
14/11/18,163.4764706,17,-0.021422942,1,0.01381156,0,0,0,0,0,0,1,0.01381156,0,0,0,0,1,0.01381156,1,0.01381156,1,0.01381156,0,0
19/11/18,165.75,3.2,0.01381156,0,0,0,0,0,0,1,0.00451468,1,0.00451468,1,0.00451468,0,0,1,0.00451468,1,0.00451468,1,0.00451468,0,0
21/11/18,166.5,1,0.00451468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010825247,0,0,1,-0.010825247,0,0
22/11/18,164.7073171,12.3,-0.010825247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00618157,0,0,1,-0.00618157,0,0
23/11/18,163.6923077,13,-0.00618157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.02001859,0,0,1,-0.02001859,0,0
26/11/18,160.448,62.5,-0.02001859,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.052938728,1,-0.052938728,0,0,1,-0.052938728,0,0
27/11/18,152.175,20,-0.052938728,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,1,0.043873028,0,0
28/11/18,159,8,0.043873028,0,0,0,0,0,0,1,0.045089605,1,0.045089605,1,0.045089605,0,0,0,0,1,0.045089605,0,0,0,0
29/11/18,166.3333333,13.5,0.045089605,0,0,0,0,0,0,1,0.004855072,1,0.004855072,1,0.004855072,0,0,0,0,1,0.004855072,0,0,0,0
04/12/18,167.1428571,7,0.004855072,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.033106112,0,0,0,0,0,0,0,0
05/12/18,161.7,10,-0.033106112,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.001650506,0,0,0,0,0,0,0,0
06/12/18,161.4333333,30,-0.001650506,0,0,0,0,0,0,1,0.024878934,1,0.024878934,1,0.024878934,1,0.024878934,0,0,1,0.024878934,0,0,0,0
07/12/18,165.5,14,0.024878934,0,0,0,0,0,0,1,0.1207103793407810,1,0.1207103793407810,1,0.1207103793407810,1,0.1207103793407810,0,0,1,0.1207103793407810,0,0,0,0
10/12/18,186.7333333,15,0.1207103793407810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/18,175.6086957,11.5,-0.061423375,0,0,0,0,0,0,1,-0.003472226,0,0,1,-0.003472226,1,-0.003472226,0,0,0,0,0,0,0,0
12/12/18,175,1,-0.003472226,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010740705,0,0,0,0,0,0,0,0
13/12/18,173.1304348,2.3,-0.010740705,0,0,0,0,0,0,1,0.2395822776573700,1,0.2395822776573700,1,0.2395822776573700,1,0.2395822776573700,0,0,1,0.2395822776573700,0,0,0,0
14/12/18,220,10,0.2395822776573700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/12/18,175,10,-0.228841572,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,1,0.007401115,0,0,0,0
18/12/18,176.3,2,0.007401115,1,-0.054193277,0,0,1,-0.054193277,0,0,0,0,0,0,1,-0.054193277,0,0,0,0,0,0,0,0
19/12/18,167,5,-0.054193277,1,0.046792162,1,0.046792162,1,0.046792162,1,0.046792162,1,0.046792162,1,0.046792162,1,0.046792162,0,0,1,0.046792162,0,0,0,0
20/12/18,175,3,0.046792162,1,0.028170877,0,0,1,0.028170877,1,0.028170877,1,0.028170877,1,0.028170877,1,0.028170877,0,0,1,0.028170877,0,0,0,0
21/12/18,180,3,0.028170877,0,0,0,0,0,0,1,0.1028573854397080,1,0.1028573854397080,1,0.1028573854397080,1,0.1028573854397080,0,0,1,0.1028573854397080,0,0,0,0
26/12/18,199.5,1,0.1028573854397080,0,0,0,0,0,0,1,0.050102109,1,0.050102109,1,0.050102109,0,0,0,0,1,0.050102109,0,0,0,0
27/12/18,209.75,4,0.050102109,0,0,0,0,0,0,1,0.047711201,1,0.047711201,1,0.047711201,0,0,0,0,1,0.047711201,0,0,0,0
02/01/19,220,3,0.047711201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/19,180,0.4,-0.200670695,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,1,0.1059468821729140,0,0
