dt,SMA_1,SMA_30,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_7_7.0,BBands_top_7_7.0,BBands_bot_7_7.0
2023-12-11,71.68892120571127,75.28428737215542,0.0,,,0.0,72.1164715232025,76.06764137415847,68.16530167224654
2023-12-12,71.71831797235023,75.09716186012265,0.0,,,0.0,71.93337409068111,75.0340772587203,68.83267092264192
2023-12-13,71.80392156862746,74.90755924574357,0.0,,,0.0,71.76250574334217,72.34321771803027,71.18179376865407
2023-12-14,71.73529411764706,74.7087357163318,0.0,,,0.0,71.73189107812125,71.95874499630399,71.50503715993851
2023-12-15,71.66666666666666,74.50762460522068,0.0,,,0.0,71.7236244437935,72.00203917763935,71.44520970994765
2023-12-16,72.0483870967742,74.34201528622427,0.0,,,0.0,71.76973771083206,72.61329436729994,70.92618105436418
2023-12-17,71.9516129032258,74.16057489761835,0.0,,,0.0,71.80187450442895,72.73971212384883,70.86403688500907
2023-12-18,74.25785639958377,74.05528268403722,1.0,,,0.0,72.16886524641073,78.20324439605066,66.1344860967708
2023-12-19,71.61864116471595,73.8612900211067,-1.0,,,0.0,72.154625702463,78.24577273014623,66.06347867477976
2023-12-20,71.38296701561586,73.65871494501904,0.0,,,0.0,72.09448933774705,78.43736845954362,65.75161021595048
2023-12-21,71.01896142337387,73.43605570117354,0.0,,,0.0,71.99215609570801,78.8414740649673,65.14283812644872
2023-12-22,70.92651267959101,73.21142881886205,0.0,,,0.0,71.88641981184007,79.20577062818043,64.56706899549971
2023-12-23,70.62683260573095,72.98577103545283,0.0,,,0.0,71.6833405988339,79.58741327692324,63.77926792074454
2023-12-24,70.498501259398,72.75676180045244,0.0,,,0.0,71.4757532211442,79.82356437544968,63.12794206683873
2023-12-25,70.43592062645425,72.52408929820824,0.0,,,0.0,70.92976239641142,73.8395448831989,68.01997990962394
2023-12-26,70.33478639930253,72.29359079887465,0.0,,,0.0,70.74635457278092,73.19066396805327,68.30204517750856
2023-12-27,70.39731367549791,72.06796489108821,0.0,,,0.0,70.60554695276407,72.3430782279164,68.86801567761175
2023-12-28,70.31053214221353,71.88535182747424,0.0,,,0.0,70.50434276974117,71.89358658679834,69.11509895268401
2023-12-29,70.20473233281582,71.77545957190142,0.0,,,0.0,70.40123129163042,71.28994068296488,69.51252190029597
2023-12-30,70.13648822187722,71.66237206157635,0.0,,,0.0,70.33118209393703,71.15805412021973,69.50431006765433
2023-12-31,70.06824411093861,71.55482543670287,0.0,,,0.0,70.26971678701427,71.15661074479807,69.38282282923048
2024-01-01,70.0,71.44532082840793,0.0,,,0.0,70.20744241180651,71.16264820251531,69.25223662109771
