,init_cash,fast_period,slow_period,rtot,ravg,rnorm,rnorm100,drawdown,moneydown,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt,period,devfactor,signal_period,sma_period,dir_period,rsi_period,rsi_upper,rsi_lower
0,100000,18.0,40.0,1.1413054011650734,0.0012351790055899,0.3651510876145086,36.51510876145087,45.45479563989641,260907.0258761926,57.27465196038833,495,0.3438671955101927,213085.27,313085.2717532137,17,0.4117647058823529,7,10,69651.81645962739,69.65181645962738,-27447.74434641779,-27.447744346417792,159903.35014005602,159.903350140056,-158808.3333333333,-158.8083333333333,,,,,,,,
0,100000,31.0,75.0,0.2555544859053825,0.0002765741189452,0.0721829152326543,7.218291523265438,29.46148930726537,53928.0,56.44490942046169,342,0.3767933168641552,29117.74,129117.73620689654,3,0.3333333333333333,1,2,47219.58620689654,47.219586206896544,-9050.925,-9.050925,47219.58620689654,47.219586206896544,-15273.600000000002,-15.273600000000002,,,,,,,,
0,100000,,,10.928677403171957,0.0118275729471557,18.69861606331802,1869.861606331802,5.592000264205374,330234678.8786173,58.15343572434087,113,0.3781240754194051,5575149285.28,5575249285.284676,78,0.8461538461538461,66,12,90238202.39632791,90238.20239632792,-31714339.40608065,-31714.339406080653,1016566249.2035396,1016566.2492035396,-271878287.9099649,-271878.2879099649,5.0,1.0,,,,,,
0,100000,15.0,65.0,-0.8212984162020605,-0.0008888510997857,-0.2006772538330805,-20.06772538330805,71.5866223350959,110821.4013457321,77.42836144415938,449,-0.4988600424977938,-56013.98,43986.01620077372,6,0.5,3,2,12662.518518518518,12.662518518518516,-29268.844677390927,-29.268844677390927,23400.0,23.4,-35057.551345732085,-35.05755134573209,,,27.0,30.0,10.0,,,
0,100000,,,7.948156543211082,0.0086019010207912,7.7379801360158,773.79801360158,0.0,0.0,57.76716666666666,103,0.6115200329802118,282935250.57,283035250.5736144,63,0.8888888888888888,56,7,5057553.312340902,5057.553312340902,-41104.98821088482,-41.10498821088482,78728525.45454545,78728.52545454545,-209914.9399808043,-209.91493998080432,,,,,,5.0,40.0,34.0
