,dt,SMA_18,SMA_40,CrossOver_x,EMA_31,EMA_75,CrossOver_y,BBands_mid_5_1.0,BBands_top_5_1.0,BBands_bot_5_1.0,MACD_macd_15_65_27,MACD_signal_15_65_27,CrossOver,SMA_30,indicator3,indicator4,RelativeStrengthIndex_5
712,2022-02-23,194.2584751237821,201.46674599724375,0.0,200.0594490108184,214.2698261096309,0.0,201.8026123581012,214.39106386017565,189.21416085602667,-14.386434922764067,-18.827350257330664,0.0,197.47786889607644,204.0167263316713,-6.538857435594849,45.366583632937086
713,2022-02-25,195.04953792571447,200.6733764320264,0.0,200.6848095345988,214.15917851178023,0.0,207.615655836362,214.81162894238415,200.41968273033984,-12.716690848803296,-18.390874585293,0.0,197.8984101560587,202.16378515520077,-4.26537499914204,58.877370323120495
714,2022-03-02,195.74001411619068,200.4942097653597,0.0,201.5795089386864,214.1813053930492,0.0,208.615655836362,216.3970899760223,200.8342216967017,-10.78446005852524,-17.847559261952444,0.0,198.3515351560587,200.9095116509272,-2.5579764948685124,62.33823717086434
715,2022-03-03,196.49927337544992,200.954924051074,0.0,202.5849562966851,214.27302542656545,0.0,209.42661416969537,217.8696457387055,200.98358260068525,-8.8516160291787,-17.204991888182892,0.0,198.61264626716985,200.36347990489548,-1.7508336377256626,64.36406657564513
716,2022-03-04,197.8381622643388,201.172424051074,0.0,203.6733965281423,214.4237352837611,0.0,211.23935926773456,220.7210373892297,201.7576811462394,-6.957138711238798,-16.47300237554403,0.0,199.0015351560587,199.06617831759388,-0.064643161535173,66.34413866539526
717,2022-03-07,197.36696884870096,200.5367097653597,0.0,203.0688092451334,213.88626856576735,0.0,211.3463768115942,220.6277385488812,202.06501507430724,-7.785471825141172,-15.852464479086684,0.0,199.604565459089,198.5241148255304,1.0804506335585984,37.39960885336195
718,2022-03-08,198.57236631934236,200.05622196048165,0.0,203.55078915511743,213.8045374931124,0.0,211.48943089430892,220.755443165472,202.22341862314596,-6.869748153046629,-15.210841884369538,0.0,199.7972483859183,196.89078149219708,2.906466893721216,53.69689526628098
719,2022-03-09,199.92328578317307,199.8581865213445,1.0,203.7769580532616,213.6299310202785,0.0,209.9233291993937,219.1251695061772,200.72148889261013,-6.408699123819844,-14.58211740147313,0.0,199.6362314367657,196.7210845225001,2.915146914265648,50.18270863318912
720,2022-03-10,202.2694396293269,200.35450231081825,0.0,205.29089817493275,214.0080907302712,0.0,211.9899958660604,223.5556391400288,200.424352592092,-4.020644602853821,-13.827726487286036,0.0,200.89694572248,196.90323474179837,3.993710980681669,66.15464481386061
721,2022-03-14,200.79934159011125,199.62325231081823,0.0,202.44459203899945,212.5802462373693,0.0,199.93999586606037,222.77709298265475,177.10289874946594,-8.442254991871863,-13.44304995189931,0.0,199.36789444042876,197.63444389212512,1.7334505483036082,28.60027562077171
722,2022-03-15,203.32498261575225,200.41919825676416,0.0,204.166805036562,213.0386608100701,0.0,207.1399958660604,232.50448017466567,181.77551155745505,-5.509484053039159,-12.8763666734093,0.0,200.03456110709536,197.47786889607644,2.556692211018941,58.73774467244092
723,2022-03-16,204.22921541998505,200.46130710030155,0.0,203.85221305511016,212.6727311396297,0.0,204.8105649717514,230.26840283401717,179.35272710948567,-5.9231828875661,-12.379710688706217,0.0,199.73576071378176,197.8984101560587,1.837350557723056,47.683443982902986
724,2022-03-18,206.7611914954394,200.87506389377984,0.0,204.73373234786143,212.81177826066917,0.0,206.96797101449275,232.9852236895348,180.9507183394507,-4.469264879617356,-11.814678845199868,0.0,200.2058090229605,198.3515351560587,1.854273866901792,54.24710384152955
725,2022-03-21,206.75193223618007,200.7042305604465,0.0,204.62537407612007,212.5535735695989,0.0,201.96797101449275,225.77085207754703,178.16508995143843,-4.635045731201188,-11.301847908485678,0.0,200.4449394577431,198.61264626716985,1.8322931905732676,48.23635190010232
726,2022-03-22,207.94851343276133,200.5593587655747,0.0,204.49494204251644,212.2900179898321,0.0,210.52566332218507,222.22765998259547,198.82366666177467,-4.801857574239193,-10.837562884610929,0.0,200.4438405566442,199.0015351560587,1.4423054005854965,48.031064749298366
727,2022-03-23,207.35327533752323,201.1437743499903,0.0,204.1693653077163,211.94779947130272,0.0,204.38280617932796,211.35556496068645,197.4100473979694,-5.233231349182205,-10.437253489223163,0.0,200.28669769950133,199.604565459089,0.6821322404123293,46.29535476183733
728,2022-03-24,207.3442255926253,201.35499883978625,0.0,204.74934120047385,211.9873042113168,0.0,207.2459354310286,214.41179636660632,200.0800744954509,-4.2382043097314295,-9.99446426211661,0.0,200.8716636858959,199.7972483859183,1.074415299977602,55.12226928897035
729,2022-03-25,207.41125796112823,201.3585702683576,0.0,205.2114359468728,211.9913977095152,0.0,206.08320251177392,211.72680523913095,200.43959978441688,-3.501570976692733,-9.53068617030062,0.0,201.19370954127507,199.6362314367657,1.5574781045093289,54.0973177816997
