,dt,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value,cash,size,return
0,2017-05-25,100000.0,100000.0,0.0,,,,,,85214.96666666667,85214.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
1,2017-07-10,100000.0,100000.0,0.0,0.0,,,,,85214.96666666667,85214.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
2,2017-07-18,100000.0,100000.0,0.0,0.0,,,,,85214.96666666667,85214.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
3,2017-08-04,100000.0,100000.0,0.0,0.0,,,,,86543.96666666667,158.96666666667443,443,0.0155958519023848,,,,,64744.83333333332,64744.83333333332,0.0,0.0
4,2017-08-11,100000.0,100000.0,0.0,0.0,,,,,86543.96666666667,158.96666666667443,443,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
5,2017-08-23,100000.0,100000.0,0.0,0.0,,,,,86543.96666666667,158.96666666667443,443,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
6,2017-08-30,100512.0,160.0,512.0,0.00512,,,,,86986.96666666667,158.96666666667443,443,0.0051187854805205,,,,,64744.83333333332,64744.83333333332,0.0,0.0
7,2017-09-15,110624.0,160.0,512.0,0.1006049028971665,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
8,2017-09-18,112288.0,160.0,512.0,0.0150419438819786,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
9,2017-09-21,110240.0,160.0,512.0,-0.0182388144770589,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
10,2017-09-26,111776.0,160.0,512.0,0.0139332365747459,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
11,2017-10-05,117920.0,160.0,512.0,0.0549670770111652,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
12,2017-10-06,118944.0,160.0,512.0,0.0086838534599729,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
13,2017-10-10,125429.33333333331,160.0,512.0,0.0545242579140883,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
14,2017-11-06,112800.0,160.0,512.0,-0.100688834084531,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
15,2017-11-27,93142.30303030304,160.0,512.0,-0.1742703632065333,,,,,86986.96666666667,86986.96666666667,0,0.0,,,,,64744.83333333332,64744.83333333332,0.0,0.0
16,2017-11-30,92320.0,160.0,512.0,-0.0088284592881014,,,,,86219.2696969697,179.269696969699,478,-0.0088254252230541,,,,,64173.07575757574,93.07575757573797,356.0,-0.0088309374867634
17,2017-12-06,97440.0,160.0,512.0,0.0554592720970537,,,,,90999.2696969697,179.269696969699,478,0.0554400427746606,,,,,67733.07575757575,93.07575757573797,356.0,0.0554749785322505
18,2017-12-12,107680.0,160.0,512.0,0.1050903119868638,,,,,100559.2696969697,179.269696969699,478,0.1050557881600049,,,,,74853.07575757575,93.07575757573797,356.0,0.1051185099800173
19,2017-12-14,104096.0,160.0,512.0,-0.0332838038632986,,,,,97213.2696969697,179.269696969699,478,-0.0332739091093541,,,,,74853.07575757575,74853.07575757575,0.0,0.0
20,2017-12-15,108448.0,160.0,512.0,0.0418075622502305,,,,,101276.2696969697,179.269696969699,478,0.0417947057296299,,,,,74853.07575757575,74853.07575757575,0.0,0.0
21,2017-12-19,102560.0,160.0,512.0,-0.0542933018589554,,,,,101276.2696969697,101276.2696969697,0,0.0,,,,,74853.07575757575,74853.07575757575,0.0,0.0
22,2017-12-20,102048.0,160.0,512.0,-0.0049921996879874,,,,,101276.2696969697,101276.2696969697,0,0.0,,,,,74853.07575757575,74853.07575757575,0.0,0.0
23,2017-12-26,107296.0,160.0,512.0,0.0514267795547194,,,,,106483.2696969697,184.269696969699,508,0.051413820982743,,,,,74853.07575757575,74853.07575757575,0.0,0.0
24,2017-12-27,121760.0,160.0,512.0,0.1348046525499553,,,,,120834.2696969697,184.269696969699,508,0.1347723453725651,,,,,74853.07575757575,74853.07575757575,0.0,0.0
25,2018-01-11,87200.0,160.0,512.0,-0.2838370565045992,,,,,120834.2696969697,120834.2696969697,0,0.0,,,,,74853.07575757575,74853.07575757575,0.0,0.0
26,2018-02-21,100000.0,160.0,512.0,0.146788990825688,,,,,138584.2696969697,134.269696969699,710,0.1468954133998059,,,,,85828.07575757575,223.07575757574523,439.0,0.1466205615323594
27,2018-03-09,108192.0,160.0,512.0,0.0819199999999999,,,,,149944.2696969697,134.269696969699,710,0.0819717852887629,,,,,85828.07575757575,85828.07575757575,0.0,0.0
28,2018-04-09,104608.0,160.0,512.0,-0.0331262939958592,,,,,144974.2696969697,134.269696969699,710,-0.0331456481134233,,,,,85828.07575757575,85828.07575757575,0.0,0.0
29,2018-04-11,104608.0,160.0,512.0,0.0,,,,,144974.2696969697,134.269696969699,710,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
30,2018-04-20,102560.0,160.0,512.0,-0.019577852554298,,,,,142134.2696969697,134.269696969699,710,-0.019589683092981,,,,,85828.07575757575,85828.07575757575,0.0,0.0
31,2018-05-07,104124.98113207548,160.0,512.0,0.015259176404792,,,,,144304.45837621496,134.269696969699,710,0.0152685814889828,,,,,85828.07575757575,85828.07575757575,0.0,0.0
32,2018-05-08,104096.0,160.0,512.0,-0.0002783302504392,,,,,144264.2696969697,134.269696969699,710,-0.0002784992210044,,,,,85828.07575757575,85828.07575757575,0.0,0.0
33,2018-05-09,103584.0,160.0,512.0,-0.0049185367353212,,,,,143554.2696969697,134.269696969699,710,-0.00492152354489,,,,,85828.07575757575,85828.07575757575,0.0,0.0
34,2018-05-10,103712.0,160.0,512.0,0.0012357120790855,,,,,143731.7696969697,134.269696969699,710,0.0012364661836579,,,,,85828.07575757575,85828.07575757575,0.0,0.0
35,2018-05-22,107680.0,160.0,512.0,0.0382597963591484,100000.0,100000.0,0.0,,149234.2696969697,134.269696969699,710,0.0382831159151588,,,,,85828.07575757575,85828.07575757575,0.0,0.0
36,2018-06-04,108704.0,160.0,512.0,0.0095096582466567,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
37,2018-06-08,110240.0,160.0,512.0,0.0141301148071828,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
38,2018-06-14,110240.0,110240.0,0.0,0.0,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
39,2018-06-20,110240.0,110240.0,0.0,0.0,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
40,2018-06-28,108640.0,140.0,500.0,-0.0145137880986937,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
41,2018-06-29,111140.0,140.0,500.0,0.0230117820324005,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
42,2018-07-02,109640.0,140.0,500.0,-0.0134964909123628,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
43,2018-07-11,109640.0,109640.0,0.0,0.0,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
44,2018-07-12,108149.0,300.0,497.0,-0.0135990514410798,100000.0,100000.0,0.0,0.0,149234.2696969697,149234.2696969697,0,0.0,,,,,85828.07575757575,85828.07575757575,0.0,0.0
45,2018-07-17,109640.0,300.0,497.0,0.0137865352430444,100000.0,100000.0,0.0,0.0,151295.2696969697,155.26969696971355,687,0.0138105007930484,,,,,85828.07575757575,85828.07575757575,0.0,0.0
46,2018-07-19,98209.0,300.0,497.0,-0.1042593943816125,100000.0,100000.0,0.0,0.0,135494.2696969697,155.26969696971355,687,-0.1044381627505468,,,,,85828.07575757575,85828.07575757575,0.0,0.0
47,2018-08-01,109640.0,300.0,497.0,0.1163946277836043,100000.0,100000.0,0.0,0.0,151295.2696969697,155.26969696971355,687,0.1166174778855122,,,,,95833.07575757576,133.07575757574523,435.0,0.1165702471095757
48,2018-08-03,109640.0,300.0,497.0,0.0,100000.0,100000.0,0.0,0.0,151295.2696969697,155.26969696971355,687,0.0,,,,,95833.07575757576,95833.07575757576,0.0,0.0
49,2018-08-06,110137.0,300.0,497.0,0.0045330171470265,100000.0,100000.0,0.0,0.0,151982.2696969697,155.26969696971355,687,0.0045407896848064,,,,,95833.07575757576,95833.07575757576,0.0,0.0
50,2018-08-07,119745.66666666669,300.0,497.0,0.0872428581372897,100000.0,100000.0,0.0,0.0,165264.2696969697,155.26969696971355,687,0.087391772911948,,,,,95833.07575757576,95833.07575757576,0.0,0.0
51,2018-08-09,108646.0,300.0,497.0,-0.0926936813301525,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,,95833.07575757576,95833.07575757576,0.0,0.0
52,2018-08-10,108811.66666666669,300.0,497.0,0.0015248298756205,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
53,2018-08-13,109640.0,300.0,497.0,0.0076125415473218,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
54,2018-08-16,106658.0,300.0,497.0,-0.0271981028821598,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
55,2018-08-17,107751.4,300.0,497.0,0.0102514579309569,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
56,2018-08-21,106658.0,300.0,497.0,-0.0101474319591207,100000.0,100000.0,0.0,0.0,165264.2696969697,165264.2696969697,0,0.0,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
57,2018-08-23,99700.0,300.0,497.0,-0.0652365504697256,100000.0,100000.0,0.0,0.0,154470.2696969697,270.26969696971355,771,-0.0653135733440264,100000.0,100000.0,0.0,0.0,95833.07575757576,95833.07575757576,0.0,0.0
58,2018-08-27,104670.0,300.0,497.0,0.0498495486459378,100000.0,100000.0,0.0,0.0,162190.2696969697,70.26969696971355,772,0.0499772546208705,100000.0,100000.0,0.0,0.0,100613.07575757576,233.07575757574523,478.0,0.0498783949300734
59,2018-09-04,104670.0,300.0,497.0,0.0,100000.0,100000.0,0.0,0.0,162190.2696969697,70.26969696971355,772,0.0,100000.0,100000.0,0.0,0.0,100613.07575757576,100613.07575757576,0.0,0.0
60,2018-09-05,105167.0,300.0,497.0,0.0047482564249545,100000.0,100000.0,0.0,0.0,162962.2696969697,70.26969696971355,772,0.004759841644276,100000.0,100000.0,0.0,0.0,100613.07575757576,100613.07575757576,0.0,0.0
61,2018-09-06,103179.0,300.0,497.0,-0.0189032681354417,100000.0,100000.0,0.0,0.0,159874.2696969697,70.26969696971355,772,-0.0189491715213722,100000.0,100000.0,0.0,0.0,100613.07575757576,100613.07575757576,0.0,0.0
62,2018-09-10,101791.54166666669,300.0,497.0,-0.0134471000235835,100000.0,100000.0,0.0,0.0,157719.10303030306,70.26969696971355,772,-0.0134803847470367,100000.0,100000.0,0.0,0.0,100613.07575757576,100613.07575757576,0.0,0.0
63,2018-09-11,100072.75,300.0,497.0,-0.0168854075547371,100000.0,100000.0,0.0,0.0,155049.2696969697,70.26969696971355,772,-0.0169277740111188,100000.0,100000.0,0.0,0.0,100613.07575757576,100613.07575757576,0.0,0.0
64,2018-09-12,101688.0,300.0,497.0,0.0161407575988468,100000.0,100000.0,0.0,0.0,157558.2696969697,70.26969696971355,772,0.0161819530327593,100000.0,100000.0,0.0,0.0,102238.07575757576,238.07575757574523,500.0,0.0161509822432561
65,2018-09-13,100014.20913461538,300.0,497.0,-0.0164600627938854,100000.0,100000.0,0.0,0.0,154958.337004662,70.26969696971355,772,-0.0165014041935604,100000.0,100000.0,0.0,0.0,102238.07575757576,102238.07575757576,0.0,0.0
66,2018-09-14,98934.88157894736,300.0,497.0,-0.0107917421435115,100000.0,100000.0,0.0,0.0,153281.79601275918,70.26969696971355,772,-0.0108193016543045,100000.0,100000.0,0.0,0.0,101132.68797923568,116.28008449883782,509.0,-0.0108118992865352
