,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
4237,SE CON MEN JUL/15,SE,2015-08-01,2015-07-28,1.5,224.0,0,30,0,29
8975,SE CON MEN SET/15,SE,2015-10-01,2015-07-28,5.5,155.0,2,38,37,0
1030,SE CON MEN AGO/15,SE,2015-09-01,2015-07-28,24.0,131.116875,1,27,17,9
1031,SE CON MEN AGO/15,SE,2015-09-01,2015-07-30,24.2,127.20247933884299,1,27,16,10
8976,SE CON MEN SET/15,SE,2015-10-01,2015-07-30,14.0,161.32142857142858,2,38,36,1
8977,SE CON MEN SET/15,SE,2015-10-01,2015-07-31,2.0,160.5,2,38,35,2
1032,SE CON MEN AGO/15,SE,2015-09-01,2015-07-31,17.0,129.78235294117647,1,27,15,11
1033,SE CON MEN AGO/15,SE,2015-09-01,2015-08-03,9.5,129.28947368421052,0,27,14,12
1034,SE CON MEN AGO/15,SE,2015-09-01,2015-08-04,3.0,129.16666666666666,0,27,13,13
8978,SE CON MEN SET/15,SE,2015-10-01,2015-08-05,4.0,176.75,1,38,34,3
1035,SE CON MEN AGO/15,SE,2015-09-01,2015-08-06,16.0,130.77375,0,27,12,14
8979,SE CON MEN SET/15,SE,2015-10-01,2015-08-06,6.0,179.39166666666665,1,38,33,4
1036,SE CON MEN AGO/15,SE,2015-09-01,2015-08-07,21.5,127.49581395348837,0,27,11,15
8980,SE CON MEN SET/15,SE,2015-10-01,2015-08-07,6.0,180.16666666666666,1,38,32,5
1037,SE CON MEN AGO/15,SE,2015-09-01,2015-08-10,1.0,128.0,0,27,10,16
8981,SE CON MEN SET/15,SE,2015-10-01,2015-08-10,8.0,186.9375,1,38,31,6
8982,SE CON MEN SET/15,SE,2015-10-01,2015-08-11,4.5,191.22222222222223,1,38,30,7
8983,SE CON MEN SET/15,SE,2015-10-01,2015-08-12,5.5,199.1818181818182,1,38,29,8
1038,SE CON MEN AGO/15,SE,2015-09-01,2015-08-13,2.0,133.5,0,27,9,17
8984,SE CON MEN SET/15,SE,2015-10-01,2015-08-13,8.0,201.8375,1,38,28,9
1039,SE CON MEN AGO/15,SE,2015-09-01,2015-08-14,8.0,131.4375,0,27,8,18
8985,SE CON MEN SET/15,SE,2015-10-01,2015-08-14,3.0,199.16666666666666,1,38,27,10
8986,SE CON MEN SET/15,SE,2015-10-01,2015-08-17,8.0,203.96875,1,38,26,11
1040,SE CON MEN AGO/15,SE,2015-09-01,2015-08-17,1.0,132.0,0,27,7,19
8987,SE CON MEN SET/15,SE,2015-10-01,2015-08-18,10.5,194.8095238095238,1,38,25,12
8988,SE CON MEN SET/15,SE,2015-10-01,2015-08-19,20.0,195.59,1,38,24,13
8989,SE CON MEN SET/15,SE,2015-10-01,2015-08-20,4.0,200.0,1,38,23,14
1041,SE CON MEN AGO/15,SE,2015-09-01,2015-08-20,1.0,133.5,0,27,6,20
1042,SE CON MEN AGO/15,SE,2015-09-01,2015-08-21,1.0,133.0,0,27,5,21
8990,SE CON MEN SET/15,SE,2015-10-01,2015-08-21,10.0,198.9,1,38,22,15
1043,SE CON MEN AGO/15,SE,2015-09-01,2015-08-24,8.0,133.0625,0,27,4,22
8991,SE CON MEN SET/15,SE,2015-10-01,2015-08-24,15.0,202.83333333333334,1,38,21,16
8992,SE CON MEN SET/15,SE,2015-10-01,2015-08-25,36.2,208.11464088397787,1,38,20,17
1044,SE CON MEN AGO/15,SE,2015-09-01,2015-08-25,3.0,134.0,0,27,3,23
8014,SE CON MEN OUT/15,SE,2015-11-01,2015-08-26,3.5,213.07142857142858,2,16,15,0
8993,SE CON MEN SET/15,SE,2015-10-01,2015-08-26,13.5,219.06666666666663,1,38,19,18
1045,SE CON MEN AGO/15,SE,2015-09-01,2015-08-26,12.0,134.5,0,27,2,24
8015,SE CON MEN OUT/15,SE,2015-11-01,2015-08-27,6.0,222.33333333333334,2,16,14,1
1046,SE CON MEN AGO/15,SE,2015-09-01,2015-08-27,7.4,135.7162162162162,0,27,1,25
8994,SE CON MEN SET/15,SE,2015-10-01,2015-08-27,24.6,232.08130081300817,1,38,18,19
8995,SE CON MEN SET/15,SE,2015-10-01,2015-08-28,27.5,243.73712727272726,1,38,17,20
8996,SE CON MEN SET/15,SE,2015-10-01,2015-08-31,10.8,253.42592592592595,1,38,16,21
8016,SE CON MEN OUT/15,SE,2015-11-01,2015-08-31,1.7,230.14705882352942,2,16,13,2
1047,SE CON MEN AGO/15,SE,2015-09-01,2015-08-31,8.0,137.79999999999998,0,27,0,26
8997,SE CON MEN SET/15,SE,2015-10-01,2015-09-01,13.0,250.26923076923077,0,38,15,22
8017,SE CON MEN OUT/15,SE,2015-11-01,2015-09-01,3.0,235.33333333333334,1,16,12,3
8998,SE CON MEN SET/15,SE,2015-10-01,2015-09-02,7.5,238.2,0,38,14,23
8999,SE CON MEN SET/15,SE,2015-10-01,2015-09-03,2.2,227.57272727272724,0,38,13,24
9000,SE CON MEN SET/15,SE,2015-10-01,2015-09-08,1.0,220.0,0,38,12,25
9001,SE CON MEN SET/15,SE,2015-10-01,2015-09-09,6.5,207.84615384615384,0,38,11,26
9002,SE CON MEN SET/15,SE,2015-10-01,2015-09-10,10.1,207.97029702970298,0,38,10,27
8018,SE CON MEN OUT/15,SE,2015-11-01,2015-09-11,2.0,170.5,1,16,11,4
9003,SE CON MEN SET/15,SE,2015-10-01,2015-09-11,2.0,204.5,0,38,9,28
9004,SE CON MEN SET/15,SE,2015-10-01,2015-09-14,5.5,199.13636363636363,0,38,8,29
9005,SE CON MEN SET/15,SE,2015-10-01,2015-09-15,1.0,199.0,0,38,7,30
9006,SE CON MEN SET/15,SE,2015-10-01,2015-09-16,5.5,198.6727272727273,0,38,6,31
9007,SE CON MEN SET/15,SE,2015-10-01,2015-09-17,4.6,205.12913043478264,0,38,5,32
9008,SE CON MEN SET/15,SE,2015-10-01,2015-09-18,1.5,208.0,0,38,4,33
8019,SE CON MEN OUT/15,SE,2015-11-01,2015-09-22,2.0,188.5,1,16,10,5
9009,SE CON MEN SET/15,SE,2015-10-01,2015-09-22,3.0,209.33333333333334,0,38,3,34
8020,SE CON MEN OUT/15,SE,2015-11-01,2015-09-23,3.0,183.33333333333334,1,16,9,6
9010,SE CON MEN SET/15,SE,2015-10-01,2015-09-23,1.0,207.0,0,38,2,35
8021,SE CON MEN OUT/15,SE,2015-11-01,2015-09-24,9.5,179.76315789473685,1,16,8,7
9011,SE CON MEN SET/15,SE,2015-10-01,2015-09-24,8.0,207.1875,0,38,1,36
9012,SE CON MEN SET/15,SE,2015-10-01,2015-09-25,13.9,211.93884892086328,0,38,0,37
8022,SE CON MEN OUT/15,SE,2015-11-01,2015-09-30,4.0,163.0,1,16,7,8
8023,SE CON MEN OUT/15,SE,2015-11-01,2015-10-01,3.0,164.0,0,16,6,9
8024,SE CON MEN OUT/15,SE,2015-11-01,2015-10-13,2.0,164.0,0,16,5,10
8025,SE CON MEN OUT/15,SE,2015-11-01,2015-10-15,1.0,170.0,0,16,4,11
8026,SE CON MEN OUT/15,SE,2015-11-01,2015-10-16,2.0,168.0,0,16,3,12
8027,SE CON MEN OUT/15,SE,2015-11-01,2015-10-21,1.0,172.5,0,16,2,13
8028,SE CON MEN OUT/15,SE,2015-11-01,2015-10-27,1.0,173.0,0,16,1,14
8029,SE CON MEN OUT/15,SE,2015-11-01,2015-10-29,1.0,180.0,0,16,0,15
1783,SE CON MEN DEZ/15,SE,2016-01-01,2015-10-30,1.0,175.0,2,11,10,0
1784,SE CON MEN DEZ/15,SE,2016-01-01,2015-11-16,1.0,165.0,1,11,9,1
1785,SE CON MEN DEZ/15,SE,2016-01-01,2015-11-17,3.5,161.0,1,11,8,2
