strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-04-16,,,
0,period5_devfactor2.0,2015-04-17,,,
0,period5_devfactor2.0,2015-04-18,,,
0,period5_devfactor2.0,2015-04-19,,,
0,period5_devfactor2.0,2015-04-20,,,
0,period5_devfactor2.0,2015-04-21,,,
0,period5_devfactor2.0,2015-04-22,,,
0,period5_devfactor2.0,2015-04-23,,,
0,period5_devfactor2.0,2015-04-24,,,
0,period5_devfactor2.0,2015-04-25,,,
0,period5_devfactor2.0,2015-04-26,,,
0,period5_devfactor2.0,2015-04-27,379.72444444444443,388.0429723294101,371.4059165594788
0,period5_devfactor2.0,2015-04-28,377.44444444444446,378.6386692304852,376.2502196584037
0,period5_devfactor2.0,2015-04-29,377.02222222222224,378.21644700821423,375.82799743623025
0,period5_devfactor2.0,2015-04-30,376.6,377.7942247859433,375.40577521405675
0,period5_devfactor2.0,2015-05-01,376.1777777777778,377.3720025637211,374.98355299183453
0,period5_devfactor2.0,2015-05-02,375.6894623655914,377.08322059865577,374.295704132527
0,period5_devfactor2.0,2015-05-03,375.13505376344085,376.81493030820104,373.45517721868066
0,period5_devfactor2.0,2015-05-04,374.5726164874552,376.3591274453359,372.7861055295745
0,period5_devfactor2.0,2015-05-05,373.96344086021503,375.79761624152417,372.1292654789059
0,period5_devfactor2.0,2015-05-06,373.30752688172043,375.0566743046342,371.55837945880666
0,period5_devfactor2.0,2015-05-07,372.6709677419355,374.4201151648826,370.9218203189884
0,period5_devfactor2.0,2015-05-08,372.0537634408603,373.90896832906424,370.1985585526563
0,period5_devfactor2.0,2015-05-09,371.39784946236557,373.2530543506323,369.54264457409886
0,period5_devfactor2.0,2015-05-10,370.741935483871,372.59714037216906,368.8867305955729
0,period5_devfactor2.0,2015-05-11,370.46537634408605,371.79321685088695,369.13753583728516
0,period5_devfactor2.0,2015-05-12,370.3442580645161,371.39037387804666,369.29814225098556
0,period5_devfactor2.0,2015-05-13,370.1964,371.1831886820031,369.20961131799686
0,period5_devfactor2.0,2015-05-14,370.07019569892475,371.2277941780017,368.9125972198478
0,period5_devfactor2.0,2015-05-15,370.3897219103477,371.5461762531084,369.233267567587
0,period5_devfactor2.0,2015-05-16,370.4953663852963,371.81962288370727,369.1711098868853
0,period5_devfactor2.0,2015-05-17,370.49489039963316,371.81872134406177,369.17105945520456
0,period5_devfactor2.0,2015-05-18,370.5853305797637,371.82114982387316,369.34951133565426
0,period5_devfactor2.0,2015-05-19,370.750049054837,371.43697946261733,370.0631186470567
0,period5_devfactor2.0,2015-05-20,370.38643682190866,371.72042505344575,369.05244859037157
0,period5_devfactor2.0,2015-05-21,369.9907616249939,371.29911013574775,368.6824131142401
0,period5_devfactor2.0,2015-05-22,369.5517554403695,370.9620256211188,368.1414852596202
0,period5_devfactor2.0,2015-05-23,369.01853634775097,370.65733538976104,367.3797373057409
0,period5_devfactor2.0,2015-05-24,368.35903580092213,370.09012121948103,366.6279503823632
0,period5_devfactor2.0,2015-05-25,367.7657334147788,369.90846033464663,365.623006494911
0,period5_devfactor2.0,2015-05-26,367.0736138959412,369.122767716255,365.0244600756274
