,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
5218,SE CON MEN JUN/15,SE,2015-07-01,2015-06-25,10.0,365.25,0,29,1,27
4440,SE CON MEN JUL/15,SE,2015-08-01,2015-06-26,6.7,349.55223880597015,1,30,15,14
5219,SE CON MEN JUN/15,SE,2015-07-01,2015-06-26,10.0,365.6,0,29,0,28
1050,SE CON MEN AGO/15,SE,2015-09-01,2015-06-30,1.0,300.0,2,27,25,1
4441,SE CON MEN JUL/15,SE,2015-08-01,2015-06-30,14.8,317.0810810810811,1,30,14,15
4442,SE CON MEN JUL/15,SE,2015-08-01,2015-07-01,3.0,322.3333333333333,0,30,13,16
4443,SE CON MEN JUL/15,SE,2015-08-01,2015-07-02,4.0,315.0,0,30,12,17
4444,SE CON MEN JUL/15,SE,2015-08-01,2015-07-03,4.9,304.8367346938775,0,30,11,18
4445,SE CON MEN JUL/15,SE,2015-08-01,2015-07-06,5.0,255.0,0,30,10,19
4446,SE CON MEN JUL/15,SE,2015-08-01,2015-07-07,5.0,250.0,0,30,9,20
4447,SE CON MEN JUL/15,SE,2015-08-01,2015-07-08,8.0,250.0625,0,30,8,21
4448,SE CON MEN JUL/15,SE,2015-08-01,2015-07-09,5.0,247.0,0,30,7,22
4449,SE CON MEN JUL/15,SE,2015-08-01,2015-07-10,1.0,245.0,0,30,6,23
4450,SE CON MEN JUL/15,SE,2015-08-01,2015-07-13,5.0,240.6,0,30,5,24
4451,SE CON MEN JUL/15,SE,2015-08-01,2015-07-14,1.0,230.0,0,30,4,25
1051,SE CON MEN AGO/15,SE,2015-09-01,2015-07-15,1.0,180.0,1,27,24,2
1052,SE CON MEN AGO/15,SE,2015-09-01,2015-07-16,4.0,173.25,1,27,23,3
1053,SE CON MEN AGO/15,SE,2015-09-01,2015-07-17,8.0,178.625,1,27,22,4
1054,SE CON MEN AGO/15,SE,2015-09-01,2015-07-20,28.8,149.15312500000002,1,27,21,5
4452,SE CON MEN JUL/15,SE,2015-08-01,2015-07-21,3.0,229.66666666666666,0,30,3,26
1055,SE CON MEN AGO/15,SE,2015-09-01,2015-07-21,7.0,144.92857142857142,1,27,20,6
4453,SE CON MEN JUL/15,SE,2015-08-01,2015-07-22,1.0,229.0,0,30,2,27
1056,SE CON MEN AGO/15,SE,2015-09-01,2015-07-22,11.0,140.63636363636363,1,27,19,7
4454,SE CON MEN JUL/15,SE,2015-08-01,2015-07-23,3.0,229.33333333333334,0,30,1,28
1057,SE CON MEN AGO/15,SE,2015-09-01,2015-07-24,3.2,148.4375,1,27,18,8
4455,SE CON MEN JUL/15,SE,2015-08-01,2015-07-28,1.5,224.0,0,30,0,29
9369,SE CON MEN SET/15,SE,2015-10-01,2015-07-28,5.5,155.0,2,38,37,0
1058,SE CON MEN AGO/15,SE,2015-09-01,2015-07-28,24.0,131.116875,1,27,17,9
1059,SE CON MEN AGO/15,SE,2015-09-01,2015-07-30,24.2,127.20247933884299,1,27,16,10
