dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2015-06-07,buy,367.7211649992751,100153.56042717176,2015-06-07,,,,,,,,
2015-06-13,sell,362.67494084964255,98632.47325544956,2015-06-13,,,,,,,,
2015-08-15,buy,158.2548387096774,100926.85067480445,2015-08-15,,,,,,,,
2015-09-12,sell,195.62585034013603,121877.24248959484,2015-09-12,,,,,,,,
2015-10-22,buy,172.5,121877.24248959484,2015-10-22,,,,,,,,
2016-02-11,buy,46.48275862068965,32300.60455856037,2016-02-11,,,,,,,,
2016-02-12,sell,45.44827586206897,32300.60455856036,2016-02-12,,,,,,,,
2016-02-13,buy,46.91293103448276,32637.8860240776,2016-02-13,,,,,,,,
2016-03-01,sell,46.35287356321837,31915.84507580172,2016-03-01,,,,,,,,
2016-03-09,buy,49.064516129032256,31860.017118812477,2016-03-09,,,,,,,,
2016-03-13,sell,47.36053130929791,30809.958927794127,2016-03-13,,,,,,,,
2016-03-29,buy,47.16129032258064,32124.47505682639,2016-03-29,,,,,,,,
2016-05-09,sell,76.92776998597475,50217.703668327085,2016-05-09,,,,,,,,
2016-06-21,buy,60.64054916985951,50821.448275538845,2016-06-21,,,,,,,,
2016-08-28,sell,141.6582795698925,117219.36670915436,2016-08-28,,,,,,,,
2016-09-23,buy,145.6,117433.76670915436,2016-09-23,,,,,sell,145.6,205421.0,2016-09-23
2016-10-24,sell,171.4605529953917,138011.2513174493,2016-10-24,,,,,,,,
2016-10-27,buy,179.989102005231,137875.99235032278,2016-10-27,,,,,,,,
2016-10-31,sell,180.4407873154729,138357.24226509457,2016-10-31,,,,,,,,
2016-11-02,buy,188.23076923076923,138089.99098304327,2016-11-02,,,,,,,,
2016-11-16,sell,183.7555555555556,135072.43542748777,2016-11-16,,,,,,,,
2017-01-07,buy,125.0,135072.43542748777,2017-01-07,,,,,,,,
2017-01-25,sell,112.5032258064516,121588.41607264904,2017-01-25,,,,,,,,
2017-02-09,buy,121.9375,121131.013898736,2017-02-09,,,,,,,,
2017-05-11,sell,380.2943456115746,378911.8343017774,2017-05-11,,,,,,,,
2017-05-17,buy,386.2037586793695,380253.0189724507,2017-05-17,,,,,,,,
2017-05-20,sell,378.96512913275046,371817.9773460908,2017-05-20,,,,,,,,
2017-06-21,buy,172.10880952380953,379321.1378222813,2017-06-21,,,,,,,,
2017-10-09,sell,429.6321639676404,927553.3762358776,2017-10-09,,,,,,,,
2017-10-11,buy,431.82699226962296,928004.8795005656,2017-10-11,,,,,,,,
2017-10-13,sell,430.0262118694769,923690.7022775644,2017-10-13,,,,,,,,
2017-10-17,buy,432.8035392141876,915500.93687359,2017-10-17,,,,,,,,
2017-10-18,sell,428.9621858352127,915500.93687359,2017-10-18,,,,,,,,
2017-12-27,buy,197.8991553882161,935051.3281402362,2017-12-27,,,,,,,,
2018-01-03,sell,185.70335045705207,859144.1222866812,2018-01-03,,,,,,,,
2018-02-01,buy,160.63593911424684,937689.0549949438,2018-02-01,,,,,,,,
2018-03-19,sell,225.774429354039,1207179.0756378907,2018-03-19,,,,,,,,
2018-03-20,buy,227.516655394699,1203684.7465928283,2018-03-20,,,,,,,,
2018-03-21,sell,226.85734802770608,1203684.7465928283,2018-03-21,,,,,,,,
2018-04-21,buy,141.7456488023507,1232942.6440957235,2018-04-21,,,,,,,,
2018-08-18,sell,473.902335360922,4021369.918669189,2018-08-18,,,,,,,,
2018-12-13,buy,82.23765170303395,4078458.418792911,2018-12-13,,,,,,,,
2019-02-22,sell,370.593266936458,18107541.722821955,2019-02-22,,,,,,,,
2019-04-02,buy,223.15650865312267,17245747.54464469,2019-04-02,,,,,,,,
