,data,valor
214,01/12/1997,0.43
215,01/01/1998,0.71
216,01/02/1998,0.46
217,01/03/1998,0.34
218,01/04/1998,0.24
219,01/05/1998,0.50
220,01/06/1998,0.02
221,01/07/1998,-0.12
222,01/08/1998,-0.51
223,01/09/1998,-0.22
224,01/10/1998,0.02
225,01/11/1998,-0.12
226,01/12/1998,0.33
227,01/01/1999,0.70
228,01/02/1999,1.05
229,01/03/1999,1.10
230,01/04/1999,0.56
231,01/05/1999,0.30
232,01/06/1999,0.19
233,01/07/1999,1.09
234,01/08/1999,0.56
235,01/09/1999,0.31
236,01/10/1999,1.19
237,01/11/1999,0.95
238,01/12/1999,0.60
239,01/01/2000,0.62
240,01/02/2000,0.13
241,01/03/2000,0.22
242,01/04/2000,0.42
243,01/05/2000,0.01
244,01/06/2000,0.23
245,01/07/2000,1.61
246,01/08/2000,1.31
247,01/09/2000,0.23
248,01/10/2000,0.14
249,01/11/2000,0.32
250,01/12/2000,0.59
251,01/01/2001,0.57
252,01/02/2001,0.46
253,01/03/2001,0.38
254,01/04/2001,0.58
255,01/05/2001,0.41
256,01/06/2001,0.52
257,01/07/2001,1.33
258,01/08/2001,0.70
259,01/09/2001,0.28
260,01/10/2001,0.83
261,01/11/2001,0.71
262,01/12/2001,0.65
263,01/01/2002,0.52
264,01/02/2002,0.36
265,01/03/2002,0.60
266,01/04/2002,0.80
267,01/05/2002,0.21
268,01/06/2002,0.42
269,01/07/2002,1.19
270,01/08/2002,0.65
271,01/09/2002,0.72
272,01/10/2002,1.31
273,01/11/2002,3.02
274,01/12/2002,2.10
275,01/01/2003,2.25
276,01/02/2003,1.57
277,01/03/2003,1.23
278,01/04/2003,0.97
279,01/05/2003,0.61
280,01/06/2003,-0.15
281,01/07/2003,0.20
282,01/08/2003,0.34
283,01/09/2003,0.78
284,01/10/2003,0.29
285,01/11/2003,0.34
286,01/12/2003,0.52
287,01/01/2004,0.76
288,01/02/2004,0.61
289,01/03/2004,0.47
290,01/04/2004,0.37
291,01/05/2004,0.51
292,01/06/2004,0.71
293,01/07/2004,0.91
294,01/08/2004,0.69
295,01/09/2004,0.33
296,01/10/2004,0.44
297,01/11/2004,0.69
298,01/12/2004,0.86
299,01/01/2005,0.58
300,01/02/2005,0.59
301,01/03/2005,0.61
302,01/04/2005,0.87
303,01/05/2005,0.49
304,01/06/2005,-0.02
305,01/07/2005,0.25
306,01/08/2005,0.17
307,01/09/2005,0.35
308,01/10/2005,0.75
309,01/11/2005,0.55
310,01/12/2005,0.36
311,01/01/2006,0.59
312,01/02/2006,0.41
313,01/03/2006,0.43
314,01/04/2006,0.21
315,01/05/2006,0.10
316,01/06/2006,-0.21
317,01/07/2006,0.19
318,01/08/2006,0.05
319,01/09/2006,0.21
320,01/10/2006,0.33
321,01/11/2006,0.31
322,01/12/2006,0.48
323,01/01/2007,0.44
324,01/02/2007,0.44
325,01/03/2007,0.37
326,01/04/2007,0.25
327,01/05/2007,0.28
328,01/06/2007,0.28
329,01/07/2007,0.24
330,01/08/2007,0.47
331,01/09/2007,0.18
332,01/10/2007,0.30
333,01/11/2007,0.38
334,01/12/2007,0.74
335,01/01/2008,0.54
336,01/02/2008,0.49
337,01/03/2008,0.48
338,01/04/2008,0.55
339,01/05/2008,0.79
340,01/06/2008,0.74
341,01/07/2008,0.53
342,01/08/2008,0.28
343,01/09/2008,0.26
344,01/10/2008,0.45
345,01/11/2008,0.36
346,01/12/2008,0.28
347,01/01/2009,0.48
348,01/02/2009,0.55
349,01/03/2009,0.20
350,01/04/2009,0.48
351,01/05/2009,0.47
352,01/06/2009,0.36
353,01/07/2009,0.24
354,01/08/2009,0.15
355,01/09/2009,0.24
356,01/10/2009,0.28
357,01/11/2009,0.41
358,01/12/2009,0.37
359,01/01/2010,0.75
360,01/02/2010,0.78
361,01/03/2010,0.52
362,01/04/2010,0.57
363,01/05/2010,0.43
364,01/06/2010,0.00
365,01/07/2010,0.01
366,01/08/2010,0.04
367,01/09/2010,0.45
368,01/10/2010,0.75
369,01/11/2010,0.83
370,01/12/2010,0.63
371,01/01/2011,0.83
372,01/02/2011,0.80
373,01/03/2011,0.79
374,01/04/2011,0.77
375,01/05/2011,0.47
376,01/06/2011,0.15
377,01/07/2011,0.16
378,01/08/2011,0.37
379,01/09/2011,0.53
380,01/10/2011,0.43
381,01/11/2011,0.52
382,01/12/2011,0.50
383,01/01/2012,0.56
384,01/02/2012,0.45
385,01/03/2012,0.21
386,01/04/2012,0.64
387,01/05/2012,0.36
388,01/06/2012,0.08
389,01/07/2012,0.43
390,01/08/2012,0.41
391,01/09/2012,0.57
392,01/10/2012,0.59
393,01/11/2012,0.60
394,01/12/2012,0.79
395,01/01/2013,0.86
396,01/02/2013,0.60
397,01/03/2013,0.47
398,01/04/2013,0.55
399,01/05/2013,0.37
400,01/06/2013,0.26
401,01/07/2013,0.03
402,01/08/2013,0.24
403,01/09/2013,0.35
404,01/10/2013,0.57
405,01/11/2013,0.54
406,01/12/2013,0.92
407,01/01/2014,0.55
408,01/02/2014,0.69
409,01/03/2014,0.92
410,01/04/2014,0.67
411,01/05/2014,0.46
412,01/06/2014,0.40
413,01/07/2014,0.01
414,01/08/2014,0.25
415,01/09/2014,0.57
416,01/10/2014,0.42
417,01/11/2014,0.51
418,01/12/2014,0.78
419,01/01/2015,1.24
420,01/02/2015,1.22
421,01/03/2015,1.32
422,01/04/2015,0.71
423,01/05/2015,0.74
424,01/06/2015,0.79
425,01/07/2015,0.62
426,01/08/2015,0.22
427,01/09/2015,0.54
428,01/10/2015,0.82
429,01/11/2015,1.01
430,01/12/2015,0.96
431,01/01/2016,1.27
432,01/02/2016,0.90
433,01/03/2016,0.43
434,01/04/2016,0.61
435,01/05/2016,0.78
436,01/06/2016,0.35
437,01/07/2016,0.52
438,01/08/2016,0.44
439,01/09/2016,0.08
440,01/10/2016,0.26
441,01/11/2016,0.18
442,01/12/2016,0.30
443,01/01/2017,0.38
444,01/02/2017,0.33
445,01/03/2017,0.25
446,01/04/2017,0.14
447,01/05/2017,0.31
448,01/06/2017,-0.23
449,01/07/2017,0.24
450,01/08/2017,0.19
451,01/09/2017,0.16
452,01/10/2017,0.42
453,01/11/2017,0.28
454,01/12/2017,0.44
455,01/01/2018,0.29
456,01/02/2018,0.32
457,01/03/2018,0.09
458,01/04/2018,0.22
459,01/05/2018,0.40
460,01/06/2018,1.26
461,01/07/2018,0.33
462,01/08/2018,-0.09
463,01/09/2018,0.48
464,01/10/2018,0.45
465,01/11/2018,-0.21
466,01/12/2018,0.15
467,01/01/2019,0.32
468,01/02/2019,0.43
469,01/03/2019,0.75
470,01/04/2019,0.57
471,01/05/2019,0.13
472,01/06/2019,0.01
473,01/07/2019,0.19
474,01/08/2019,0.11
475,01/09/2019,-0.04
476,01/10/2019,0.10
477,01/11/2019,0.51
478,01/12/2019,1.15
479,01/01/2020,0.21
480,01/02/2020,0.25
481,01/03/2020,0.07
482,01/04/2020,-0.31
483,01/05/2020,-0.38
484,01/06/2020,0.26
485,01/07/2020,0.36
486,01/08/2020,0.24
487,01/09/2020,0.64
488,01/10/2020,0.86
489,01/11/2020,0.89
490,01/12/2020,1.35
491,01/01/2021,0.25
492,01/02/2021,0.86
493,01/03/2021,0.93
494,01/04/2021,0.31
495,01/05/2021,0.83
496,01/06/2021,0.53
497,01/07/2021,0.96
498,01/08/2021,0.87
499,01/09/2021,1.16
500,01/10/2021,1.25
501,01/11/2021,0.95
502,01/12/2021,0.73
503,01/01/2022,0.54
504,01/02/2022,1.01
505,01/03/2022,1.62
506,01/04/2022,1.06
507,01/05/2022,0.47
508,01/06/2022,0.67
509,01/07/2022,-0.68
510,01/08/2022,-0.36
511,01/09/2022,-0.29
512,01/10/2022,0.59
513,01/11/2022,0.41
514,01/12/2022,0.62
515,01/01/2023,0.53
516,01/02/2023,0.84
517,01/03/2023,0.71
518,01/04/2023,0.61
519,01/05/2023,0.23
520,01/06/2023,-0.08
521,01/07/2023,0.12
522,01/08/2023,0.23
523,01/09/2023,0.26
524,01/10/2023,0.24
525,01/11/2023,0.28
526,01/12/2023,0.56
527,01/01/2024,0.42
528,01/02/2024,0.83
529,01/03/2024,0.16
530,01/04/2024,0.38
531,01/05/2024,0.46
532,01/06/2024,0.21
533,01/07/2024,0.38
534,01/08/2024,-0.02
535,01/09/2024,0.44
536,01/10/2024,0.56
