init_cash,fast_period,slow_period,rtot,ravg,rnorm,rnorm100,drawdown,moneydown,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt,period,devfactor
100000,1.0,46.0,4.128533092156374,0.0013585169766885,0.4082478585220685,40.82478585220685,26.53378681834761,2242387.795873804,27.89557912710841,1006,,6108678.05,6208678.051701466,41,0.3902439024390244,16.0,25.0,464823.3209234322,464.8233209234323,-53139.803322938,-53.13980332293801,2722462.179635718,2722.462179635718,-370396.6800917432,-370.3966800917432,,
100000,33.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,,0.0,100000.0,0,,,,,,,,,,,,,
100000,,,1.3190571480232591,0.0004340431549928,0.1155849375906619,11.5584937590662,65.31953386394696,704396.827663949,66.68696872269174,262,,273989.35,373989.3548387096,2,0.5,1.0,0.0,148896.0,148.89600000000002,0.0,0.0,148896.0,148.89600000000002,0.0,0.0,5.0,2.0
