id_subsistema,idhistorico_carga,subsistema,data,valor
5,193058.0,SIN,24/01/2000,41049.880000000005
3,193059.0,Nordeste,24/01/2000,5804.14
2,193060.0,Sul,24/01/2000,7137.7
1,193061.0,Sudeste,24/01/2000,25673.24
4,193062.0,Norte,24/01/2000,2434.8
1,193063.0,Sudeste,25/01/2000,25874.23
2,193064.0,Sul,25/01/2000,7416.22
3,193065.0,Nordeste,25/01/2000,5964.81
4,193066.0,Norte,25/01/2000,2448.1
5,193067.0,SIN,25/01/2000,41703.36
1,193068.0,Sudeste,26/01/2000,26728.61
3,193069.0,Nordeste,26/01/2000,5995.97
4,193070.0,Norte,26/01/2000,2463.07
5,193071.0,SIN,26/01/2000,42417.380000000005
2,193072.0,Sul,26/01/2000,7229.73
2,193073.0,Sul,27/01/2000,7112.18
3,193074.0,Nordeste,27/01/2000,6066.92
4,193075.0,Norte,27/01/2000,2484.58
5,193076.0,SIN,27/01/2000,41203.770000000004
1,193077.0,Sudeste,27/01/2000,25540.09
5,193078.0,SIN,28/01/2000,40598.04
4,193079.0,Norte,28/01/2000,2493.07
3,193080.0,Nordeste,28/01/2000,6029.8
2,193081.0,Sul,28/01/2000,7059.63
1,193082.0,Sudeste,28/01/2000,25015.54
4,193083.0,Norte,29/01/2000,2402.26
1,193084.0,Sudeste,29/01/2000,22674.66
2,193085.0,Sul,29/01/2000,6214.31
3,193086.0,Nordeste,29/01/2000,5651.62
5,193087.0,SIN,29/01/2000,36942.85
1,193088.0,Sudeste,30/01/2000,20515.09
2,193089.0,Sul,30/01/2000,5442.13
4,193090.0,Norte,30/01/2000,2283.1
3,193091.0,Nordeste,30/01/2000,5258.69
5,193092.0,SIN,30/01/2000,33499.01
5,193093.0,SIN,31/01/2000,40953.2
4,193094.0,Norte,31/01/2000,2473.93
3,193095.0,Nordeste,31/01/2000,5984.23
2,193096.0,Sul,31/01/2000,6939.69
1,193097.0,Sudeste,31/01/2000,25555.35
5,193098.0,SIN,01/02/2000,41924.56
2,193099.0,Sul,01/02/2000,7101.74
3,193100.0,Nordeste,01/02/2000,6221.8
1,193101.0,Sudeste,01/02/2000,26134.62
4,193102.0,Norte,01/02/2000,2466.4
1,193103.0,Sudeste,02/02/2000,26217.28
4,193104.0,Norte,02/02/2000,2474.01
5,193105.0,SIN,02/02/2000,42002.11
2,193106.0,Sul,02/02/2000,7031.08
3,193107.0,Nordeste,02/02/2000,6279.74
5,193108.0,SIN,03/02/2000,42586.729999999996
1,193109.0,Sudeste,03/02/2000,26423.98
2,193110.0,Sul,03/02/2000,7394.05
3,193111.0,Nordeste,03/02/2000,6279.62
4,193112.0,Norte,03/02/2000,2489.08
5,193113.0,SIN,04/02/2000,42888.34
3,193114.0,Nordeste,04/02/2000,6181.78
1,193115.0,Sudeste,04/02/2000,26983.54
4,193116.0,Norte,04/02/2000,2495.18
2,193117.0,Sul,04/02/2000,7227.84
5,193118.0,SIN,05/02/2000,38667.89
4,193119.0,Norte,05/02/2000,2396.48
3,193120.0,Nordeste,05/02/2000,5719.79
2,193121.0,Sul,05/02/2000,6193.5
1,193122.0,Sudeste,05/02/2000,24358.12
4,193123.0,Norte,06/02/2000,2297.23
5,193124.0,SIN,06/02/2000,34355.31
3,193125.0,Nordeste,06/02/2000,5320.6
2,193126.0,Sul,06/02/2000,5421.05
1,193127.0,Sudeste,06/02/2000,21316.43
3,193128.0,Nordeste,07/02/2000,5997.15
4,193129.0,Norte,07/02/2000,2430.35
5,193130.0,SIN,07/02/2000,40968.47
1,193131.0,Sudeste,07/02/2000,25526.55
2,193132.0,Sul,07/02/2000,7014.42
4,193133.0,Norte,08/02/2000,2439.21
3,193134.0,Nordeste,08/02/2000,6087.32
2,193135.0,Sul,08/02/2000,7292.05
1,193136.0,Sudeste,08/02/2000,26241.8
5,193137.0,SIN,08/02/2000,42060.38
4,193138.0,Norte,09/02/2000,2437.78
3,193139.0,Nordeste,09/02/2000,6108.2
2,193140.0,Sul,09/02/2000,7389.07
1,193141.0,Sudeste,09/02/2000,26460.02
5,193142.0,SIN,09/02/2000,42395.07
1,193143.0,Sudeste,10/02/2000,26778.07
4,193144.0,Norte,10/02/2000,2406.68
3,193145.0,Nordeste,10/02/2000,6059.8
2,193146.0,Sul,10/02/2000,7461.0
5,193147.0,SIN,10/02/2000,42705.55
5,193148.0,SIN,11/02/2000,42957.380000000005
2,193149.0,Sul,11/02/2000,7537.1
4,193150.0,Norte,11/02/2000,2433.9
3,193151.0,Nordeste,11/02/2000,5991.82
1,193152.0,Sudeste,11/02/2000,26994.56
1,193153.0,Sudeste,12/02/2000,24474.28
2,193154.0,Sul,12/02/2000,6704.83
5,193155.0,SIN,12/02/2000,39101.86
4,193156.0,Norte,12/02/2000,2322.17
3,193157.0,Nordeste,12/02/2000,5600.58
4,193158.0,Norte,13/02/2000,2237.54
3,193159.0,Nordeste,13/02/2000,5096.73
2,193160.0,Sul,13/02/2000,5621.87
1,193161.0,Sudeste,13/02/2000,21933.04
5,193162.0,SIN,13/02/2000,34889.18
5,193163.0,SIN,14/02/2000,41536.2
1,193164.0,Sudeste,14/02/2000,26413.98
3,193165.0,Nordeste,14/02/2000,5634.05
4,193166.0,Norte,14/02/2000,2391.83
2,193167.0,Sul,14/02/2000,7096.34
4,193168.0,Norte,15/02/2000,2388.36
3,193169.0,Nordeste,15/02/2000,5781.93
1,193170.0,Sudeste,15/02/2000,27523.97
5,193171.0,SIN,15/02/2000,42899.990000000005
2,193172.0,Sul,15/02/2000,7205.73
4,193173.0,Norte,16/02/2000,2423.45
3,193174.0,Nordeste,16/02/2000,5801.85
2,193175.0,Sul,16/02/2000,7057.28
1,193176.0,Sudeste,16/02/2000,27404.22
5,193177.0,SIN,16/02/2000,42686.8
5,193178.0,SIN,17/02/2000,41598.36
2,193179.0,Sul,17/02/2000,6999.04
3,193180.0,Nordeste,17/02/2000,5841.06
1,193181.0,Sudeste,17/02/2000,26313.36
4,193182.0,Norte,17/02/2000,2444.9
1,193183.0,Sudeste,18/02/2000,25385.22
4,193184.0,Norte,18/02/2000,2414.96
3,193185.0,Nordeste,18/02/2000,5837.42
2,193186.0,Sul,18/02/2000,6977.52
5,193187.0,SIN,18/02/2000,40615.12
1,193188.0,Sudeste,19/02/2000,23121.13
2,193189.0,Sul,19/02/2000,6249.7
3,193190.0,Nordeste,19/02/2000,5438.39
5,193191.0,SIN,19/02/2000,37187.600000000006
4,193192.0,Norte,19/02/2000,2378.38
3,193193.0,Nordeste,20/02/2000,5014.76
5,193194.0,SIN,20/02/2000,33324.22
4,193195.0,Norte,20/02/2000,2274.71
2,193196.0,Sul,20/02/2000,5356.97
1,193197.0,Sudeste,20/02/2000,20677.78
3,193198.0,Nordeste,21/02/2000,5675.66
4,193199.0,Norte,21/02/2000,2475.04
5,193200.0,SIN,21/02/2000,40445.16
2,193201.0,Sul,21/02/2000,6987.71
1,193202.0,Sudeste,21/02/2000,25306.75
4,193203.0,Norte,22/02/2000,2422.56
3,193204.0,Nordeste,22/02/2000,5774.01
2,193205.0,Sul,22/02/2000,7280.16
1,193206.0,Sudeste,22/02/2000,26409.38
5,193207.0,SIN,22/02/2000,41886.11
4,193208.0,Norte,23/02/2000,2439.79
3,193209.0,Nordeste,23/02/2000,5760.19
2,193210.0,Sul,23/02/2000,7296.46
1,193211.0,Sudeste,23/02/2000,27100.27
5,193212.0,SIN,23/02/2000,42596.71
1,193213.0,Sudeste,24/02/2000,27439.93
3,193214.0,Nordeste,24/02/2000,5768.92
4,193215.0,Norte,24/02/2000,2445.16
2,193216.0,Sul,24/02/2000,7454.98
5,193217.0,SIN,24/02/2000,43108.99
3,193218.0,Nordeste,25/02/2000,5837.14
4,193219.0,Norte,25/02/2000,2467.29
2,193220.0,Sul,25/02/2000,7519.51
1,193221.0,Sudeste,25/02/2000,27427.15
5,193222.0,SIN,25/02/2000,43251.090000000004
3,193223.0,Nordeste,26/02/2000,5513.15
2,193224.0,Sul,26/02/2000,6667.82
4,193225.0,Norte,26/02/2000,2364.77
1,193226.0,Sudeste,26/02/2000,24846.51
5,193227.0,SIN,26/02/2000,39392.25
4,193228.0,Norte,27/02/2000,2281.36
5,193229.0,SIN,27/02/2000,35335.26
3,193230.0,Nordeste,27/02/2000,5069.69
2,193231.0,Sul,27/02/2000,5624.72
1,193232.0,Sudeste,27/02/2000,22359.49
5,193233.0,SIN,28/02/2000,42576.92
4,193234.0,Norte,28/02/2000,2457.35
3,193235.0,Nordeste,28/02/2000,5857.89
2,193236.0,Sul,28/02/2000,7223.26
1,193237.0,Sudeste,28/02/2000,27038.42
5,193238.0,SIN,29/02/2000,43352.93
4,193239.0,Norte,29/02/2000,2466.12
1,193240.0,Sudeste,29/02/2000,27465.02
2,193241.0,Sul,29/02/2000,7347.8
3,193242.0,Nordeste,29/02/2000,6073.99
4,193243.0,Norte,01/03/2000,2472.55
2,193244.0,Sul,01/03/2000,7344.59
1,193245.0,Sudeste,01/03/2000,27163.64
5,193246.0,SIN,01/03/2000,43032.979999999996
3,193247.0,Nordeste,01/03/2000,6052.2
4,193248.0,Norte,02/03/2000,2451.93
3,193249.0,Nordeste,02/03/2000,6018.39
2,193250.0,Sul,02/03/2000,7500.86
1,193251.0,Sudeste,02/03/2000,27254.63
5,193252.0,SIN,02/03/2000,43225.81
5,193253.0,SIN,03/03/2000,42838.82
4,193254.0,Norte,03/03/2000,2373.16
3,193255.0,Nordeste,03/03/2000,6013.88
2,193256.0,Sul,03/03/2000,7428.86
1,193257.0,Sudeste,03/03/2000,27022.92
4,193258.0,Norte,04/03/2000,2349.99
3,193259.0,Nordeste,04/03/2000,5552.49
2,193260.0,Sul,04/03/2000,6430.98
1,193261.0,Sudeste,04/03/2000,23923.38
5,193262.0,SIN,04/03/2000,38256.84
5,193263.0,SIN,05/03/2000,34335.369999999995
3,193264.0,Nordeste,05/03/2000,5107.44
1,193265.0,Sudeste,05/03/2000,21465.73
4,193266.0,Norte,05/03/2000,2312.58
2,193267.0,Sul,05/03/2000,5449.62
5,193268.0,SIN,06/03/2000,36841.22
1,193269.0,Sudeste,06/03/2000,22983.18
2,193270.0,Sul,06/03/2000,6348.72
3,193271.0,Nordeste,06/03/2000,5180.61
4,193272.0,Norte,06/03/2000,2328.71
5,193273.0,SIN,07/03/2000,36182.78
2,193274.0,Sul,07/03/2000,6131.35
1,193275.0,Sudeste,07/03/2000,22622.5
3,193276.0,Nordeste,07/03/2000,5142.35
4,193277.0,Norte,07/03/2000,2286.58
1,193278.0,Sudeste,08/03/2000,24392.8
2,193279.0,Sul,08/03/2000,6789.96
3,193280.0,Nordeste,08/03/2000,5654.46
4,193281.0,Norte,08/03/2000,2385.08
5,193282.0,SIN,08/03/2000,39222.3
1,193283.0,Sudeste,09/03/2000,25594.62
2,193284.0,Sul,09/03/2000,7020.4
3,193285.0,Nordeste,09/03/2000,6083.47
4,193286.0,Norte,09/03/2000,2440.03
5,193287.0,SIN,09/03/2000,41138.520000000004
5,193288.0,SIN,10/03/2000,41633.45
4,193289.0,Norte,10/03/2000,2446.87
3,193290.0,Nordeste,10/03/2000,6072.07
2,193291.0,Sul,10/03/2000,7106.22
1,193292.0,Sudeste,10/03/2000,26008.29
4,193293.0,Norte,11/03/2000,2352.85
3,193294.0,Nordeste,11/03/2000,5701.15
1,193295.0,Sudeste,11/03/2000,23962.81
5,193296.0,SIN,11/03/2000,38365.21
2,193297.0,Sul,11/03/2000,6348.4
5,193298.0,SIN,12/03/2000,34222.72
4,193299.0,Norte,12/03/2000,2297.45
3,193300.0,Nordeste,12/03/2000,5327.85
2,193301.0,Sul,12/03/2000,5342.36
1,193302.0,Sudeste,12/03/2000,21255.06
3,193303.0,Nordeste,13/03/2000,6034.45
2,193304.0,Sul,13/03/2000,7035.9
1,193305.0,Sudeste,13/03/2000,25229.15
4,193306.0,Norte,13/03/2000,2451.68
5,193307.0,SIN,13/03/2000,40751.18
5,193308.0,SIN,14/03/2000,42164.6
1,193309.0,Sudeste,14/03/2000,26145.6
2,193310.0,Sul,14/03/2000,7364.44
3,193311.0,Nordeste,14/03/2000,6168.49
4,193312.0,Norte,14/03/2000,2486.07
1,193313.0,Sudeste,15/03/2000,26625.92
3,193314.0,Nordeste,15/03/2000,6123.15
4,193315.0,Norte,15/03/2000,2482.82
2,193316.0,Sul,15/03/2000,7451.61
5,193317.0,SIN,15/03/2000,42683.5
2,193318.0,Sul,16/03/2000,7565.33
3,193319.0,Nordeste,16/03/2000,6150.88
4,193320.0,Norte,16/03/2000,2465.13
5,193321.0,SIN,16/03/2000,43335.03
1,193322.0,Sudeste,16/03/2000,27153.69
5,193323.0,SIN,17/03/2000,43511.24
4,193324.0,Norte,17/03/2000,2457.29
3,193325.0,Nordeste,17/03/2000,6127.23
