,data,produto,submercado,expiracao,volume,VWAP,M,H,h,h_cresc
804,2017-02-27,SE CON MEN MAR/17,SE,2017-04-01,,180.89249999999998,1.0,73.0,32.0,40.0
805,2017-02-28,SE CON MEN MAR/17,SE,2017-04-01,,182.26166666666666,1.0,73.0,31.0,41.0
806,2017-03-01,SE CON MEN ABR/17,SE,2017-05-01,,177.45833333333334,1.0,109.0,60.0,48.0
807,2017-03-02,SE CON MEN ABR/17,SE,2017-05-01,2.0,180.0,1.0,109.0,59.0,49.0
808,2017-03-03,SE CON MEN ABR/17,SE,2017-05-01,3.0,183.4333333333333,1.0,109.0,58.0,50.0
809,2017-03-04,SE CON MEN ABR/17,SE,2017-05-01,,186.34666666666664,1.0,109.0,57.0,51.0
810,2017-03-05,SE CON MEN ABR/17,SE,2017-05-01,,189.26,1.0,109.0,56.0,52.0
811,2017-03-06,SE CON MEN ABR/17,SE,2017-05-01,,192.17333333333332,1.0,109.0,55.0,53.0
812,2017-03-07,SE CON MEN ABR/17,SE,2017-05-01,,195.08666666666667,1.0,109.0,54.0,54.0
813,2017-03-08,SE CON MEN ABR/17,SE,2017-05-01,4.0,198.0,1.0,109.0,53.0,55.0
814,2017-03-09,SE CON MEN ABR/17,SE,2017-05-01,10.0,219.6,1.0,109.0,52.0,56.0
815,2017-03-10,SE CON MEN ABR/17,SE,2017-05-01,17.0,261.55882352941177,1.0,109.0,51.0,57.0
816,2017-03-11,SE CON MEN ABR/17,SE,2017-05-01,,253.73366013071896,1.0,109.0,50.0,58.0
817,2017-03-12,SE CON MEN ABR/17,SE,2017-05-01,,245.90849673202615,1.0,109.0,49.0,59.0
818,2017-03-13,SE CON MEN ABR/17,SE,2017-05-01,12.0,238.08333333333334,1.0,109.0,48.0,60.0
819,2017-03-14,SE CON MEN ABR/17,SE,2017-05-01,19.0,206.42105263157896,1.0,109.0,47.0,61.0
820,2017-03-15,SE CON MEN ABR/17,SE,2017-05-01,1.0,214.0,1.0,109.0,46.0,62.0
821,2017-03-16,SE CON MEN ABR/17,SE,2017-05-01,25.0,225.72,1.0,109.0,45.0,63.0
822,2017-03-17,SE CON MEN ABR/17,SE,2017-05-01,6.6,233.7727272727273,1.0,109.0,44.0,64.0
823,2017-03-18,SE CON MEN ABR/17,SE,2017-05-01,,235.63947583947586,1.0,109.0,43.0,65.0
824,2017-03-19,SE CON MEN ABR/17,SE,2017-05-01,,237.5062244062244,1.0,109.0,42.0,66.0
825,2017-03-20,SE CON MEN ABR/17,SE,2017-05-01,18.5,239.37297297297295,1.0,109.0,41.0,67.0
826,2017-03-21,SE CON MEN ABR/17,SE,2017-05-01,10.0,242.8,1.0,109.0,40.0,68.0
827,2017-03-22,SE CON MEN ABR/17,SE,2017-05-01,19.3,242.2668393782384,1.0,109.0,39.0,69.0
828,2017-03-23,SE CON MEN ABR/17,SE,2017-05-01,28.3,229.22296819787985,1.0,109.0,38.0,70.0
829,2017-03-24,SE CON MEN ABR/17,SE,2017-05-01,23.1,228.99999999999997,1.0,109.0,37.0,71.0
830,2017-03-25,SE CON MEN ABR/17,SE,2017-05-01,,235.35333333333332,1.0,109.0,36.0,72.0
831,2017-03-26,SE CON MEN ABR/17,SE,2017-05-01,,241.70666666666665,1.0,109.0,35.0,73.0
832,2017-03-27,SE CON MEN ABR/17,SE,2017-05-01,50.0,248.06,1.0,109.0,34.0,74.0
833,2017-03-28,SE CON MEN ABR/17,SE,2017-05-01,48.0,268.9270833333333,1.0,109.0,33.0,75.0
834,2017-03-29,SE CON MEN ABR/17,SE,2017-05-01,10.0,289.982,1.0,109.0,32.0,76.0
835,2017-03-30,SE CON MEN ABR/17,SE,2017-05-01,148.8,330.0692204301076,1.0,109.0,31.0,77.0
836,2017-03-31,SE CON MEN ABR/17,SE,2017-05-01,11.0,386.54545454545456,1.0,109.0,30.0,78.0
837,2017-04-01,SE CON MEN MAI/17,SE,2017-06-01,,414.1666666666667,1.0,101.0,60.0,40.0
838,2017-04-02,SE CON MEN MAI/17,SE,2017-06-01,,413.3333333333333,1.0,101.0,59.0,41.0
839,2017-04-03,SE CON MEN MAI/17,SE,2017-06-01,,412.5,1.0,101.0,58.0,42.0
840,2017-04-04,SE CON MEN MAI/17,SE,2017-06-01,,411.6666666666667,1.0,101.0,57.0,43.0
841,2017-04-05,SE CON MEN MAI/17,SE,2017-06-01,,410.8333333333333,1.0,101.0,56.0,44.0
842,2017-04-06,SE CON MEN MAI/17,SE,2017-06-01,1.0,410.0,1.0,101.0,55.0,45.0
843,2017-04-07,SE CON MEN MAI/17,SE,2017-06-01,,406.11538461538464,1.0,101.0,54.0,46.0
844,2017-04-08,SE CON MEN MAI/17,SE,2017-06-01,,402.2307692307692,1.0,101.0,53.0,47.0
845,2017-04-09,SE CON MEN MAI/17,SE,2017-06-01,,398.34615384615387,1.0,101.0,52.0,48.0
846,2017-04-10,SE CON MEN MAI/17,SE,2017-06-01,,394.46153846153845,1.0,101.0,51.0,49.0
847,2017-04-11,SE CON MEN MAI/17,SE,2017-06-01,,390.5769230769231,1.0,101.0,50.0,50.0
848,2017-04-12,SE CON MEN MAI/17,SE,2017-06-01,,386.6923076923077,1.0,101.0,49.0,51.0
849,2017-04-13,SE CON MEN MAI/17,SE,2017-06-01,,382.8076923076923,1.0,101.0,48.0,52.0
850,2017-04-14,SE CON MEN MAI/17,SE,2017-06-01,,378.9230769230769,1.0,101.0,47.0,53.0
851,2017-04-15,SE CON MEN MAI/17,SE,2017-06-01,,375.03846153846155,1.0,101.0,46.0,54.0
852,2017-04-16,SE CON MEN MAI/17,SE,2017-06-01,,371.15384615384613,1.0,101.0,45.0,55.0
853,2017-04-17,SE CON MEN MAI/17,SE,2017-06-01,,367.2692307692308,1.0,101.0,44.0,56.0
854,2017-04-18,SE CON MEN MAI/17,SE,2017-06-01,,363.38461538461536,1.0,101.0,43.0,57.0
855,2017-04-19,SE CON MEN MAI/17,SE,2017-06-01,2.0,359.5,1.0,101.0,42.0,58.0
856,2017-04-20,SE CON MEN MAI/17,SE,2017-06-01,7.4,362.7567567567568,1.0,101.0,41.0,59.0
857,2017-04-21,SE CON MEN MAI/17,SE,2017-06-01,,368.8303226696084,1.0,101.0,40.0,60.0
858,2017-04-22,SE CON MEN MAI/17,SE,2017-06-01,,374.90388858246,1.0,101.0,39.0,61.0
859,2017-04-23,SE CON MEN MAI/17,SE,2017-06-01,,380.97745449531163,1.0,101.0,38.0,62.0
860,2017-04-24,SE CON MEN MAI/17,SE,2017-06-01,49.0,387.05102040816325,1.0,101.0,37.0,63.0
861,2017-04-25,SE CON MEN MAI/17,SE,2017-06-01,68.8,401.26453488372096,1.0,101.0,36.0,64.0
862,2017-04-26,SE CON MEN MAI/17,SE,2017-06-01,5.0,401.2,1.0,101.0,35.0,65.0
863,2017-04-27,SE CON MEN MAI/17,SE,2017-06-01,16.6,399.18373493975906,1.0,101.0,34.0,66.0
864,2017-04-28,SE CON MEN MAI/17,SE,2017-06-01,10.7,399.8598130841122,1.0,101.0,33.0,67.0
865,2017-04-29,SE CON MEN MAI/17,SE,2017-06-01,,397.88785046728975,1.0,101.0,32.0,68.0
866,2017-04-30,SE CON MEN MAI/17,SE,2017-06-01,,395.9158878504673,1.0,101.0,31.0,69.0
867,2017-05-01,SE CON MEN JUN/17,SE,2017-07-01,,365.7083333333333,1.0,131.0,60.0,70.0
868,2017-05-02,SE CON MEN JUN/17,SE,2017-07-01,,364.75,1.0,131.0,59.0,71.0
869,2017-05-03,SE CON MEN JUN/17,SE,2017-07-01,,363.7916666666667,1.0,131.0,58.0,72.0
870,2017-05-04,SE CON MEN JUN/17,SE,2017-07-01,,362.8333333333333,1.0,131.0,57.0,73.0
871,2017-05-05,SE CON MEN JUN/17,SE,2017-07-01,,361.875,1.0,131.0,56.0,74.0
872,2017-05-06,SE CON MEN JUN/17,SE,2017-07-01,,360.9166666666667,1.0,131.0,55.0,75.0
873,2017-05-07,SE CON MEN JUN/17,SE,2017-07-01,,359.9583333333333,1.0,131.0,54.0,76.0
874,2017-05-08,SE CON MEN JUN/17,SE,2017-07-01,1.0,359.0,1.0,131.0,53.0,77.0
875,2017-05-09,SE CON MEN JUN/17,SE,2017-07-01,7.5,362.53333333333336,1.0,131.0,52.0,78.0
876,2017-05-10,SE CON MEN JUN/17,SE,2017-07-01,1.0,345.0,1.0,131.0,51.0,79.0
877,2017-05-11,SE CON MEN JUN/17,SE,2017-07-01,17.7,352.6271186440678,1.0,131.0,50.0,80.0
878,2017-05-12,SE CON MEN JUN/17,SE,2017-07-01,3.0,349.0,1.0,131.0,49.0,81.0
879,2017-05-13,SE CON MEN JUN/17,SE,2017-07-01,,352.44444444444446,1.0,131.0,48.0,82.0
880,2017-05-14,SE CON MEN JUN/17,SE,2017-07-01,,355.88888888888886,1.0,131.0,47.0,83.0
881,2017-05-15,SE CON MEN JUN/17,SE,2017-07-01,4.5,359.3333333333333,1.0,131.0,46.0,84.0
882,2017-05-16,SE CON MEN JUN/17,SE,2017-07-01,19.0,368.36842105263156,1.0,131.0,45.0,85.0
883,2017-05-17,SE CON MEN JUN/17,SE,2017-07-01,6.0,360.0,1.0,131.0,44.0,86.0
884,2017-05-18,SE CON MEN JUN/17,SE,2017-07-01,4.0,351.5,1.0,131.0,43.0,87.0
885,2017-05-19,SE CON MEN JUN/17,SE,2017-07-01,20.0,341.9,1.0,131.0,42.0,88.0
886,2017-05-20,SE CON MEN JUN/17,SE,2017-07-01,,312.9619846261356,1.0,131.0,41.0,89.0
887,2017-05-21,SE CON MEN JUN/17,SE,2017-07-01,,284.0239692522711,1.0,131.0,40.0,90.0
888,2017-05-22,SE CON MEN JUN/17,SE,2017-07-01,47.7,255.0859538784067,1.0,131.0,39.0,91.0
889,2017-05-23,SE CON MEN JUN/17,SE,2017-07-01,27.0,202.22222222222223,1.0,131.0,38.0,92.0
890,2017-05-24,SE CON MEN JUN/17,SE,2017-07-01,49.5,192.85252525252525,1.0,131.0,37.0,93.0
891,2017-05-25,SE CON MEN JUN/17,SE,2017-07-01,17.5,187.5142857142857,1.0,131.0,36.0,94.0
892,2017-05-26,SE CON MEN JUN/17,SE,2017-07-01,9.7,139.7938144329897,1.0,131.0,35.0,95.0
893,2017-05-27,SE CON MEN JUN/17,SE,2017-07-01,,132.14152846257284,1.0,131.0,34.0,96.0
894,2017-05-28,SE CON MEN JUN/17,SE,2017-07-01,,124.48924249215598,1.0,131.0,33.0,97.0
895,2017-05-29,SE CON MEN JUN/17,SE,2017-07-01,27.6,116.83695652173911,1.0,131.0,32.0,98.0
896,2017-05-30,SE CON MEN JUN/17,SE,2017-07-01,1.5,99.0,1.0,131.0,31.0,99.0
897,2017-05-31,SE CON MEN JUN/17,SE,2017-07-01,6.0,94.83333333333333,1.0,131.0,30.0,100.0
898,2017-06-01,SE CON MEN JUL/17,SE,2017-08-01,8.0,111.75,1.0,110.0,60.0,49.0
899,2017-06-02,SE CON MEN JUL/17,SE,2017-08-01,3.0,134.33333333333334,1.0,110.0,59.0,50.0
900,2017-06-03,SE CON MEN JUL/17,SE,2017-08-01,,136.22222222222223,1.0,110.0,58.0,51.0
901,2017-06-04,SE CON MEN JUL/17,SE,2017-08-01,,138.11111111111111,1.0,110.0,57.0,52.0
902,2017-06-05,SE CON MEN JUL/17,SE,2017-08-01,1.0,140.0,1.0,110.0,56.0,53.0
903,2017-06-06,SE CON MEN JUL/17,SE,2017-08-01,,140.25,1.0,110.0,55.0,54.0
904,2017-06-07,SE CON MEN JUL/17,SE,2017-08-01,6.0,140.5,1.0,110.0,54.0,55.0
905,2017-06-08,SE CON MEN JUL/17,SE,2017-08-01,25.0,159.96,1.0,110.0,53.0,56.0
906,2017-06-09,SE CON MEN JUL/17,SE,2017-08-01,2.0,165.0,1.0,110.0,52.0,57.0
907,2017-06-10,SE CON MEN JUL/17,SE,2017-08-01,,169.3,1.0,110.0,51.0,58.0
908,2017-06-11,SE CON MEN JUL/17,SE,2017-08-01,,173.6,1.0,110.0,50.0,59.0
909,2017-06-12,SE CON MEN JUL/17,SE,2017-08-01,10.0,177.9,1.0,110.0,49.0,60.0
910,2017-06-13,SE CON MEN JUL/17,SE,2017-08-01,1.0,180.0,1.0,110.0,48.0,61.0
911,2017-06-14,SE CON MEN JUL/17,SE,2017-08-01,,183.33333333333334,1.0,110.0,47.0,62.0
912,2017-06-15,SE CON MEN JUL/17,SE,2017-08-01,,186.66666666666666,1.0,110.0,46.0,63.0
913,2017-06-16,SE CON MEN JUL/17,SE,2017-08-01,1.0,190.0,1.0,110.0,45.0,64.0
914,2017-06-17,SE CON MEN JUL/17,SE,2017-08-01,,194.72666666666666,1.0,110.0,44.0,65.0
915,2017-06-18,SE CON MEN JUL/17,SE,2017-08-01,,199.45333333333335,1.0,110.0,43.0,66.0
916,2017-06-19,SE CON MEN JUL/17,SE,2017-08-01,10.0,204.18,1.0,110.0,42.0,67.0
917,2017-06-20,SE CON MEN JUL/17,SE,2017-08-01,3.0,210.83333333333334,1.0,110.0,41.0,68.0
918,2017-06-21,SE CON MEN JUL/17,SE,2017-08-01,1.0,208.0,1.0,110.0,40.0,69.0
919,2017-06-22,SE CON MEN JUL/17,SE,2017-08-01,1.0,208.0,1.0,110.0,39.0,70.0
920,2017-06-23,SE CON MEN JUL/17,SE,2017-08-01,3.0,210.66666666666666,1.0,110.0,38.0,71.0
921,2017-06-24,SE CON MEN JUL/17,SE,2017-08-01,,210.34444444444443,1.0,110.0,37.0,72.0
922,2017-06-25,SE CON MEN JUL/17,SE,2017-08-01,,210.02222222222224,1.0,110.0,36.0,73.0
923,2017-06-26,SE CON MEN JUL/17,SE,2017-08-01,3.0,209.70000000000002,1.0,110.0,35.0,74.0
924,2017-06-27,SE CON MEN JUL/17,SE,2017-08-01,11.0,205.1818181818182,1.0,110.0,34.0,75.0
925,2017-06-28,SE CON MEN JUL/17,SE,2017-08-01,,208.23376623376623,1.0,110.0,33.0,76.0
926,2017-06-29,SE CON MEN JUL/17,SE,2017-08-01,10.5,211.28571428571428,1.0,110.0,32.0,77.0
927,2017-06-30,SE CON MEN JUL/17,SE,2017-08-01,8.2,211.99999999999997,1.0,110.0,31.0,78.0
928,2017-07-01,SE CON MEN AGO/17,SE,2017-09-01,,236.96859903381642,1.0,73.0,61.0,11.0
929,2017-07-02,SE CON MEN AGO/17,SE,2017-09-01,,239.60386473429952,1.0,73.0,60.0,12.0
930,2017-07-03,SE CON MEN AGO/17,SE,2017-09-01,23.0,242.2391304347826,1.0,73.0,59.0,13.0
931,2017-07-04,SE CON MEN AGO/17,SE,2017-09-01,13.0,248.07692307692307,1.0,73.0,58.0,14.0
932,2017-07-05,SE CON MEN AGO/17,SE,2017-09-01,10.0,248.8,1.0,73.0,57.0,15.0
933,2017-07-06,SE CON MEN AGO/17,SE,2017-09-01,5.7,250.7017543859649,1.0,73.0,56.0,16.0
934,2017-07-07,SE CON MEN AGO/17,SE,2017-09-01,0.5,250.0,1.0,73.0,55.0,17.0
935,2017-07-08,SE CON MEN AGO/17,SE,2017-09-01,,252.08,1.0,73.0,54.0,18.0
936,2017-07-09,SE CON MEN AGO/17,SE,2017-09-01,,254.16,1.0,73.0,53.0,19.0
937,2017-07-10,SE CON MEN AGO/17,SE,2017-09-01,5.0,256.24,1.0,73.0,52.0,20.0
938,2017-07-11,SE CON MEN AGO/17,SE,2017-09-01,20.0,259.225,1.0,73.0,51.0,21.0
939,2017-07-12,SE CON MEN AGO/17,SE,2017-09-01,17.0,271.02941176470586,1.0,73.0,50.0,22.0
940,2017-07-13,SE CON MEN AGO/17,SE,2017-09-01,3.0,273.8333333333333,1.0,73.0,49.0,23.0
941,2017-07-14,SE CON MEN AGO/17,SE,2017-09-01,22.0,286.25,1.0,73.0,48.0,24.0
942,2017-07-15,SE CON MEN AGO/17,SE,2017-09-01,,287.4920634920635,1.0,73.0,47.0,25.0
943,2017-07-16,SE CON MEN AGO/17,SE,2017-09-01,,288.734126984127,1.0,73.0,46.0,26.0
944,2017-07-17,SE CON MEN AGO/17,SE,2017-09-01,21.0,289.9761904761905,1.0,73.0,45.0,27.0
945,2017-07-18,SE CON MEN AGO/17,SE,2017-09-01,32.0,299.6153125,1.0,73.0,44.0,28.0
946,2017-07-19,SE CON MEN AGO/17,SE,2017-09-01,4.0,301.0,1.0,73.0,43.0,29.0
947,2017-07-20,SE CON MEN AGO/17,SE,2017-09-01,10.0,308.0,1.0,73.0,42.0,30.0
948,2017-07-21,SE CON MEN AGO/17,SE,2017-09-01,15.4,321.11623376623373,1.0,73.0,41.0,31.0
949,2017-07-22,SE CON MEN AGO/17,SE,2017-09-01,,326.0060606060606,1.0,73.0,40.0,32.0
950,2017-07-23,SE CON MEN AGO/17,SE,2017-09-01,,330.8958874458874,1.0,73.0,39.0,33.0
951,2017-07-24,SE CON MEN AGO/17,SE,2017-09-01,17.5,335.7857142857143,1.0,73.0,38.0,34.0
952,2017-07-25,SE CON MEN AGO/17,SE,2017-09-01,74.0,356.822972972973,1.0,73.0,37.0,35.0
953,2017-07-26,SE CON MEN AGO/17,SE,2017-09-01,8.0,358.125,1.0,73.0,36.0,36.0
954,2017-07-27,SE CON MEN AGO/17,SE,2017-09-01,59.2,367.34712837837833,1.0,73.0,35.0,37.0
955,2017-07-28,SE CON MEN AGO/17,SE,2017-09-01,9.0,369.55555555555554,1.0,73.0,34.0,38.0
956,2017-07-29,SE CON MEN AGO/17,SE,2017-09-01,,372.19739417989416,1.0,73.0,33.0,39.0
957,2017-07-30,SE CON MEN AGO/17,SE,2017-09-01,,374.83923280423284,1.0,73.0,32.0,40.0
958,2017-07-31,SE CON MEN AGO/17,SE,2017-09-01,28.0,377.48107142857145,1.0,73.0,31.0,41.0
959,2017-08-01,SE CON MEN SET/17,SE,2017-10-01,79.5,297.24522012578615,1.0,90.0,60.0,29.0
960,2017-08-02,SE CON MEN SET/17,SE,2017-10-01,16.0,300.84375,1.0,90.0,59.0,30.0
961,2017-08-03,SE CON MEN SET/17,SE,2017-10-01,85.5,304.0233918128655,1.0,90.0,58.0,31.0
962,2017-08-04,SE CON MEN SET/17,SE,2017-10-01,29.3,282.4641638225256,1.0,90.0,57.0,32.0
963,2017-08-05,SE CON MEN SET/17,SE,2017-10-01,,268.24277588168377,1.0,90.0,56.0,33.0
964,2017-08-06,SE CON MEN SET/17,SE,2017-10-01,,254.0213879408419,1.0,90.0,55.0,34.0
965,2017-08-07,SE CON MEN SET/17,SE,2017-10-01,27.5,239.8,1.0,90.0,54.0,35.0
966,2017-08-08,SE CON MEN SET/17,SE,2017-10-01,41.7,228.01918465227814,1.0,90.0,53.0,36.0
967,2017-08-09,SE CON MEN SET/17,SE,2017-10-01,63.0,211.85714285714286,1.0,90.0,52.0,37.0
968,2017-08-10,SE CON MEN SET/17,SE,2017-10-01,74.4,239.31586021505373,1.0,90.0,51.0,38.0
969,2017-08-11,SE CON MEN SET/17,SE,2017-10-01,46.1,246.4869848156182,1.0,90.0,50.0,39.0
970,2017-08-12,SE CON MEN SET/17,SE,2017-10-01,,251.7908895053316,1.0,90.0,49.0,40.0
971,2017-08-13,SE CON MEN SET/17,SE,2017-10-01,,257.094794195045,1.0,90.0,48.0,41.0
972,2017-08-14,SE CON MEN SET/17,SE,2017-10-01,107.6,262.39869888475835,1.0,90.0,47.0,42.0
973,2017-08-15,SE CON MEN SET/17,SE,2017-10-01,77.5,264.4232258064516,1.0,90.0,46.0,43.0
974,2017-08-16,SE CON MEN SET/17,SE,2017-10-01,111.6,293.375,1.0,90.0,45.0,44.0
975,2017-08-17,SE CON MEN SET/17,SE,2017-10-01,94.0,309.6946808510638,1.0,90.0,44.0,45.0
976,2017-08-18,SE CON MEN SET/17,SE,2017-10-01,77.6,329.11662371134025,1.0,90.0,43.0,46.0
977,2017-08-19,SE CON MEN SET/17,SE,2017-10-01,,335.4810601028622,1.0,90.0,42.0,47.0
978,2017-08-20,SE CON MEN SET/17,SE,2017-10-01,,341.8454964943841,1.0,90.0,41.0,48.0
979,2017-08-21,SE CON MEN SET/17,SE,2017-10-01,223.5,348.2099328859061,1.0,90.0,40.0,49.0
980,2017-08-22,SE CON MEN SET/17,SE,2017-10-01,71.0,378.38028169014086,1.0,90.0,39.0,50.0
981,2017-08-23,SE CON MEN SET/17,SE,2017-10-01,98.5,378.2832487309645,1.0,90.0,38.0,51.0
982,2017-08-24,SE CON MEN SET/17,SE,2017-10-01,43.7,386.11762013729975,1.0,90.0,37.0,52.0
983,2017-08-25,SE CON MEN SET/17,SE,2017-10-01,74.1,380.91632928475036,1.0,90.0,36.0,53.0
984,2017-08-26,SE CON MEN SET/17,SE,2017-10-01,,386.17055908702986,1.0,90.0,35.0,54.0
985,2017-08-27,SE CON MEN SET/17,SE,2017-10-01,,391.4247888893093,1.0,90.0,34.0,55.0
986,2017-08-28,SE CON MEN SET/17,SE,2017-10-01,107.0,396.6790186915888,1.0,90.0,33.0,56.0
987,2017-08-29,SE CON MEN SET/17,SE,2017-10-01,84.0,405.2240476190476,1.0,90.0,32.0,57.0
988,2017-08-30,SE CON MEN SET/17,SE,2017-10-01,62.0,416.7016129032258,1.0,90.0,31.0,58.0
989,2017-08-31,SE CON MEN SET/17,SE,2017-10-01,107.0,419.5358878504673,1.0,90.0,30.0,59.0
990,2017-09-01,SE CON MEN OUT/17,SE,2017-11-01,110.0,319.97345454545456,1.0,100.0,60.0,39.0
991,2017-09-02,SE CON MEN OUT/17,SE,2017-11-01,,322.7219288806432,1.0,100.0,59.0,40.0
992,2017-09-03,SE CON MEN OUT/17,SE,2017-11-01,,325.47040321583177,1.0,100.0,58.0,41.0
993,2017-09-04,SE CON MEN OUT/17,SE,2017-11-01,98.0,328.2188775510204,1.0,100.0,57.0,42.0
994,2017-09-05,SE CON MEN OUT/17,SE,2017-11-01,20.3,310.8374384236453,1.0,100.0,56.0,43.0
995,2017-09-06,SE CON MEN OUT/17,SE,2017-11-01,126.4,337.7626582278481,1.0,100.0,55.0,44.0
996,2017-09-07,SE CON MEN OUT/17,SE,2017-11-01,,355.22716244725734,1.0,100.0,54.0,45.0
997,2017-09-08,SE CON MEN OUT/17,SE,2017-11-01,24.0,372.69166666666666,1.0,100.0,53.0,46.0
998,2017-09-09,SE CON MEN OUT/17,SE,2017-11-01,,378.65124223602487,1.0,100.0,52.0,47.0
999,2017-09-10,SE CON MEN OUT/17,SE,2017-11-01,,384.610817805383,1.0,100.0,51.0,48.0
1000,2017-09-11,SE CON MEN OUT/17,SE,2017-11-01,96.6,390.57039337474123,1.0,100.0,50.0,49.0
1001,2017-09-12,SE CON MEN OUT/17,SE,2017-11-01,75.5,390.9733774834437,1.0,100.0,49.0,50.0
1002,2017-09-13,SE CON MEN OUT/17,SE,2017-11-01,100.7,400.2014895729891,1.0,100.0,48.0,51.0
1003,2017-09-14,SE CON MEN OUT/17,SE,2017-11-01,99.5,409.9442211055277,1.0,100.0,47.0,52.0
1004,2017-09-15,SE CON MEN OUT/17,SE,2017-11-01,30.0,420.4316666666667,1.0,100.0,46.0,53.0
1005,2017-09-16,SE CON MEN OUT/17,SE,2017-11-01,,422.08968253968254,1.0,100.0,45.0,54.0
1006,2017-09-17,SE CON MEN OUT/17,SE,2017-11-01,,423.7476984126984,1.0,100.0,44.0,55.0
1007,2017-09-18,SE CON MEN OUT/17,SE,2017-11-01,17.5,425.4057142857143,1.0,100.0,43.0,56.0
1008,2017-09-19,SE CON MEN OUT/17,SE,2017-11-01,102.0,427.67245098039217,1.0,100.0,42.0,57.0
1009,2017-09-20,SE CON MEN OUT/17,SE,2017-11-01,31.0,426.20000000000005,1.0,100.0,41.0,58.0
1010,2017-09-21,SE CON MEN OUT/17,SE,2017-11-01,26.4,428.75,1.0,100.0,40.0,59.0
1011,2017-09-22,SE CON MEN OUT/17,SE,2017-11-01,10.0,427.302,1.0,100.0,39.0,60.0
1012,2017-09-23,SE CON MEN OUT/17,SE,2017-11-01,,423.38508333333334,1.0,100.0,38.0,61.0
1013,2017-09-24,SE CON MEN OUT/17,SE,2017-11-01,,419.46816666666666,1.0,100.0,37.0,62.0
1014,2017-09-25,SE CON MEN OUT/17,SE,2017-11-01,40.0,415.55125,1.0,100.0,36.0,63.0
1015,2017-09-26,SE CON MEN OUT/17,SE,2017-11-01,28.7,419.0383275261325,1.0,100.0,35.0,64.0
1016,2017-09-27,SE CON MEN OUT/17,SE,2017-11-01,17.8,421.5955056179775,1.0,100.0,34.0,65.0
1017,2017-09-28,SE CON MEN OUT/17,SE,2017-11-01,65.1,432.3986175115208,1.0,100.0,33.0,66.0
1018,2017-09-29,SE CON MEN OUT/17,SE,2017-11-01,27.2,441.86764705882354,1.0,100.0,32.0,67.0
1019,2017-09-30,SE CON MEN OUT/17,SE,2017-11-01,,443.55669224211425,1.0,100.0,31.0,68.0
1020,2017-10-01,SE CON MEN NOV/17,SE,2017-12-01,,357.47906756110723,1.0,128.0,60.0,67.0
1021,2017-10-02,SE CON MEN NOV/17,SE,2017-12-01,275.0,360.9422909090909,1.0,128.0,59.0,68.0
1022,2017-10-03,SE CON MEN NOV/17,SE,2017-12-01,165.6,366.37016908212564,1.0,128.0,58.0,69.0
1023,2017-10-04,SE CON MEN NOV/17,SE,2017-12-01,80.0,360.49750000000006,1.0,128.0,57.0,70.0
1024,2017-10-05,SE CON MEN NOV/17,SE,2017-12-01,78.0,354.3025641025641,1.0,128.0,56.0,71.0
1025,2017-10-06,SE CON MEN NOV/17,SE,2017-12-01,75.0,360.4709333333334,1.0,128.0,55.0,72.0
1026,2017-10-07,SE CON MEN NOV/17,SE,2017-12-01,,365.56087279920877,1.0,128.0,54.0,73.0
1027,2017-10-08,SE CON MEN NOV/17,SE,2017-12-01,,370.6508122650841,1.0,128.0,53.0,74.0
1028,2017-10-09,SE CON MEN NOV/17,SE,2017-12-01,101.1,375.74075173095946,1.0,128.0,52.0,75.0
1029,2017-10-10,SE CON MEN NOV/17,SE,2017-12-01,130.0,399.3645384615385,1.0,128.0,51.0,76.0
1030,2017-10-11,SE CON MEN NOV/17,SE,2017-12-01,126.4,391.21044303797464,1.0,128.0,50.0,77.0
1031,2017-10-12,SE CON MEN NOV/17,SE,2017-12-01,,394.271888185654,1.0,128.0,49.0,78.0
1032,2017-10-13,SE CON MEN NOV/17,SE,2017-12-01,6.0,397.3333333333333,1.0,128.0,48.0,79.0
1033,2017-10-14,SE CON MEN NOV/17,SE,2017-12-01,,401.0045351473923,1.0,128.0,47.0,80.0
1034,2017-10-15,SE CON MEN NOV/17,SE,2017-12-01,,404.6757369614512,1.0,128.0,46.0,81.0
1035,2017-10-16,SE CON MEN NOV/17,SE,2017-12-01,78.4,408.3469387755102,1.0,128.0,45.0,82.0
1036,2017-10-17,SE CON MEN NOV/17,SE,2017-12-01,50.0,395.612,1.0,128.0,44.0,83.0
1037,2017-10-18,SE CON MEN NOV/17,SE,2017-12-01,24.4,390.06967213114757,1.0,128.0,43.0,84.0
1038,2017-10-19,SE CON MEN NOV/17,SE,2017-12-01,44.7,390.10178970917224,1.0,128.0,42.0,85.0
1039,2017-10-20,SE CON MEN NOV/17,SE,2017-12-01,21.0,386.42904761904765,1.0,128.0,41.0,86.0
1040,2017-10-21,SE CON MEN NOV/17,SE,2017-12-01,,380.0690016318054,1.0,128.0,40.0,87.0
1041,2017-10-22,SE CON MEN NOV/17,SE,2017-12-01,,373.7089556445631,1.0,128.0,39.0,88.0
1042,2017-10-23,SE CON MEN NOV/17,SE,2017-12-01,64.2,367.34890965732086,1.0,128.0,38.0,89.0
1043,2017-10-24,SE CON MEN NOV/17,SE,2017-12-01,60.8,369.3766447368421,1.0,128.0,37.0,90.0
