dt,SMA_1,SMA_46,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
2016-08-05,199.3548387096774,,,,,,,,
2016-08-06,199.1935483870968,,,,,,,,
2016-08-07,199.03225806451613,,,,,,,,
2016-08-08,198.8709677419355,,,,,,,,
2016-08-09,198.7096774193548,,,,,,199.03225806451613,199.4884559878824,198.57606014114987
2016-08-10,198.5483870967741,,,,,,198.87096774193543,199.3271656653017,198.4147698185692
2016-08-11,198.3870967741936,,,,,,198.7096774193548,199.16587534272108,198.25347949598856
2016-08-12,198.22580645161293,,,,,,198.5483870967742,199.0045850200767,198.09218917347167
2016-08-13,198.06451612903223,,,,,,198.38709677419357,198.8432946975279,197.9308988508592
2016-08-14,197.9032258064516,,,,,,198.22580645161287,198.68200437497916,197.7696085282466
2016-08-15,197.7419354838709,,,,,,198.06451612903223,198.52071405233477,197.60831820572977
2016-08-16,197.5806451612903,,,,,,197.9032258064516,198.35942372981785,197.44702788308533
2016-08-17,197.4193548387097,,,,,,197.74193548387092,198.1981334072372,197.28573756050469
2016-08-18,197.25806451612905,,,,,,197.5806451612903,198.03684308465657,197.12444723792404
2016-08-19,197.0967741935484,,,,,,197.4193548387097,197.87555276201215,196.9631569154072
2016-08-20,196.9354838709677,,,,,,197.25806451612905,197.7142624394953,196.8018665927628
2016-08-21,196.77419354838707,,,,,,197.0967741935484,197.5529721168828,196.640576270214
2016-08-22,196.6129032258065,,,,,,196.93548387096772,197.3916817943021,196.47928594763337
2016-08-23,196.45161290322585,,,,,,196.7741935483871,197.23039147172148,196.31799562505276
2016-08-24,196.2903225806452,,,,,,196.6129032258065,197.06910114914083,196.1567053024721
2016-08-25,196.1290322580645,,,,,,196.45161290322585,196.90781082659208,195.9954149798596
2016-08-26,195.96774193548387,,,,,,196.2903225806452,196.74652050397955,195.8341246573108
2016-08-27,195.80645161290323,,,,,,196.1290322580645,196.5852301813989,195.67283433473017
2016-08-28,195.6451612903226,,,,,,195.96774193548387,196.42393985885013,195.5115440121176
2016-08-29,195.48387096774195,,,,,,195.80645161290323,196.2626495362376,195.3502536895689
2016-08-30,195.32258064516128,,,,,,195.6451612903226,196.10135921362507,195.1889633670201
2016-08-31,195.16129032258064,,,,,,195.48387096774195,195.94006889107632,195.0276730444076
2016-09-01,195.0,,,,,,195.32258064516128,195.77877856852757,194.86638272179505
2016-09-02,195.0,,,,,,195.1935483870968,195.56973883196997,194.8173579422236
2016-09-03,195.0,,,,,,195.0967741935484,195.35483870970455,194.8387096773922
2016-09-04,195.0,,,,,,195.03225806451613,195.16129032250964,194.9032258065226
2016-09-05,195.0,,,,,,195.0,195.0,195.0
2016-09-06,195.0,,,196.8475073313783,,,195.0,195.0,195.0
2016-09-07,195.0,,,196.7388304295325,,,195.0,195.0,195.0
2016-09-08,195.0,,,196.6365462866188,,,195.0,195.0,195.0
