dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2017-09-12,buy,191.62790697674416,100954.38335985316,2017-09-12,,,,,,,,
2018-07-21,sell,312.3491614886972,162895.7736007275,2018-07-21,,,,,,,,
2018-07-24,buy,321.59985141335113,163590.90335217945,2018-07-24,,,,,,,,
2018-08-08,sell,311.1380561985097,157602.1052220177,2018-08-08,,,,,,,,
2018-12-05,buy,130.74492401559232,155050.69099453432,2018-12-05,,,,,,,,
2019-02-25,sell,298.8961451247165,360056.17543740326,2019-02-25,,,,,,,,
2019-03-22,buy,307.31366723259765,365371.04668107606,2019-03-22,,,,,,,,
2019-04-27,sell,302.63849295657246,354586.2215344538,2019-04-27,,,,,,,,
2019-09-25,buy,166.76180092592597,356984.6169514446,2019-09-25,,,,,,,,
2019-11-28,sell,186.9299578059072,397423.3867475339,2019-11-28,,,,,,,,
2019-12-12,buy,196.0989247311828,397397.2706185017,2019-12-12,,,,,,,,
2019-12-14,sell,194.7081413210445,394608.4411254141,2019-12-14,,,,,,,,
2019-12-27,buy,208.23328570439327,396814.80378337257,2019-12-27,,,,,,,,
2020-01-05,sell,190.48181818181817,361004.91310517926,2020-01-05,,,,,,,,
2020-01-16,buy,189.08042634716563,357954.3994154791,2020-01-16,,,,,,,,
2020-01-17,sell,187.48078623720224,357954.3994154791,2020-01-17,,,,,,,,
2020-03-11,buy,174.57259869593145,363016.0547639485,2020-03-11,,,,,,,,
2020-03-13,sell,169.60701745201231,347784.8890279327,2020-03-13,,,,,,,,
2020-05-15,buy,100.06577678134718,348631.25838736084,2020-05-15,,,,,,,,
2020-07-01,sell,111.20026066004247,386443.8170547628,2020-07-01,,,,,,,,
2020-07-29,buy,111.56619795974636,395327.2077121607,2020-07-29,,,,,,,,
2020-08-05,sell,101.86649080209015,352882.8302892723,2020-08-05,,,,,,,,
2020-09-11,buy,93.30765765765769,356557.62018995953,2020-09-11,,,,,,,,
2020-11-28,sell,217.76096507745223,823067.4257212561,2020-11-28,,,,,,,,
2021-01-11,buy,163.3962131837307,893488.4290695632,2021-01-11,,,,,,,,
2021-02-04,sell,156.92188722558873,790488.6174998856,2021-02-04,,,,,,,,
2021-02-17,buy,168.64998617448924,790862.0136384568,2021-02-17,,,,,,,,
2021-02-18,sell,168.7297375923814,790862.0136384567,2021-02-18,,,,,,,,
2021-02-20,buy,170.90346637269175,796576.7005085421,2021-02-20,,,,,,,,
2021-02-23,sell,170.45821703441106,788804.0711969234,2021-02-23,,,,,,,,
2021-03-11,buy,169.46800699906447,784142.8682351976,2021-03-11,,,,,,,,
2021-06-22,sell,492.72390640441,2291620.7475323747,2021-06-22,,,,,,,,
2021-06-23,buy,494.80788122488167,2330029.338247617,2021-06-23,,,,,,,,
2021-07-03,sell,501.66048387096777,2323320.8873731685,2021-07-03,,,,,,,,
2021-07-22,buy,499.0760429890626,2315689.3436407214,2021-07-22,,,,,,,,
2021-07-23,sell,497.4348507885363,2315689.3436407214,2021-07-23,,,,,,,,
2021-07-24,buy,498.5443058969812,2311176.426647708,2021-07-24,,,,,,,,
2021-08-18,sell,489.9705071296212,2275906.9173601707,2021-08-18,,,,,,,,
2021-09-19,buy,468.56987120830667,2294076.537757653,2021-09-19,,,,,,,,
2021-09-28,sell,451.6699225721345,2193908.3665774628,2021-09-28,,,,,,,,
2021-12-07,buy,241.82544802867383,2126699.765897322,2021-12-07,,,,,,,,
2021-12-14,sell,200.95634507250668,1823511.68648572,2021-12-14,,,,,,,,
